Stock,Signal,High,Low,Close
BANDHANBNK,sell,226.65,223.95,224.95
CIPLA,sell,1185.0,1165.0,1165.0
CUB,sell,134.6,132.7,133.4
CUMMINSIND,sell,1926.9,1880.4,1880.0
FEDERALBNK,sell,134.8,133.85,134.2
GUJGASLTD,sell,482.65,471.5,474.25
HINDALCO,sell,460.0,455.5,457.35
IBULHSGFIN,buy,149.85,141.5,149.35
INDIAMART,sell,3130.0,3088.0,3092.85
MPHASIS,sell,2289.05,2257.6,2265.0
RAIN,sell,170.0,168.0,168.25
SAIL,sell,95.35,94.2,94.45
