symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0.47,475.0,468.05,473.7,472.25,476.45,479.2,483.4,469.5,465.3,462.55
ABB,-0.8,4438.0,4325.0,4372.95,4378.65,4432.3,4491.65,4545.3,4319.3,4265.65,4206.3
ABBOTINDIA,1.96,24657.7,24034.6,24555.8,24416.03,24797.46,25039.13,25420.56,24174.36,23792.93,23551.26
ABCAPITAL,1.66,194.3,186.4,193.1,191.27,196.14,199.17,204.04,188.24,183.37,180.34
ABFRL,1.31,222.0,216.25,220.95,219.73,223.21,225.48,228.96,217.46,213.98,211.71
ALKEM,2.23,4082.7,3927.1,4023.4,4011.07,4095.04,4166.67,4250.64,3939.44,3855.47,3783.84
AMARAJABAT,-1.56,632.9,623.0,624.75,626.88,630.76,636.78,640.66,620.86,616.98,610.96
APOLLOHOSP,-0.01,5030.0,4956.3,4996.3,4994.2,5032.1,5067.9,5105.8,4958.4,4920.5,4884.7
APOLLOTYRE,1.6,433.0,421.0,431.55,428.52,436.04,440.52,448.04,424.04,416.52,412.04
ASHOKLEY,0.36,182.5,180.05,181.0,181.18,182.31,183.63,184.76,179.86,178.73,177.41
ASIANPAINT,-0.79,3379.95,3317.95,3336.35,3344.75,3371.55,3406.75,3433.55,3309.55,3282.75,3247.55
ASTRAL,0.83,2005.5,1970.0,1996.75,1990.75,2011.5,2026.25,2047.0,1976.0,1955.25,1940.5
ATUL,-1.12,7106.8,6990.0,7014.65,7037.15,7084.3,7153.95,7201.1,6967.5,6920.35,6850.7
AUBANK,0.32,737.25,718.65,728.25,728.05,737.45,746.65,756.05,718.85,709.45,700.25
AUROPHARMA,2.96,855.9,817.85,840.35,838.03,858.21,876.08,896.26,820.16,799.98,782.11
AXISBANK,-1.03,946.6,927.15,935.55,936.43,945.71,955.88,965.16,926.26,916.98,906.81
BAJAJ-AUTO,-0.12,4913.65,4806.0,4826.3,4848.65,4891.3,4956.3,4998.95,4783.65,4741.0,4676.0
BAJAJFINSV,-2.18,1522.9,1477.8,1493.65,1498.12,1518.44,1543.22,1563.54,1473.34,1453.02,1428.24
BAJFINANCE,-1.32,7224.3,7018.05,7108.35,7116.9,7215.75,7323.15,7422.0,7009.5,6910.65,6803.25
BALKRISIND,0.36,2496.0,2450.15,2478.55,2474.9,2499.65,2520.75,2545.5,2453.8,2429.05,2407.95
BALRAMCHIN,2.35,411.0,398.45,409.85,406.43,414.41,418.98,426.96,401.86,393.88,389.31
BANDHANBNK,0.51,227.75,223.2,226.65,225.87,228.54,230.42,233.09,223.99,221.32,219.44
BANKBARODA,-0.74,195.4,191.1,193.3,193.27,195.44,197.57,199.74,191.14,188.97,186.84
BATAINDIA,-0.49,1756.9,1731.7,1748.45,1745.68,1759.66,1770.88,1784.86,1734.46,1720.48,1709.26
BEL,-0.56,126.5,123.5,124.65,124.88,126.26,127.88,129.26,123.26,121.88,120.26
BERGEPAINT,-1.85,722.5,695.6,698.5,705.53,715.46,732.43,742.36,688.56,678.63,661.66
BHARATFORG,0.3,912.75,898.95,908.4,906.7,914.45,920.5,928.25,900.65,892.9,886.85
BHARTIARTL,-0.73,882.05,865.1,871.7,872.95,880.8,889.9,897.75,863.85,856.0,846.9
BHEL,0.2,102.5,99.0,100.75,100.75,102.5,104.25,106.0,99.0,97.25,95.5
BIOCON,0.63,256.85,252.1,254.55,254.5,256.9,259.25,261.65,252.15,249.75,247.4
BOSCHLTD,-0.12,18409.6,18081.1,18239.7,18243.47,18405.84,18571.97,18734.34,18077.34,17914.97,17748.84
