symbol,token
AARTIIND,7
ABB,13
ABBOTINDIA,17903
ABCAPITAL,21614
ABFRL,30108
ACC,22
ADANIENT,25
ADANIPORTS,15083
ALKEM,11703
AMARAJABAT,100
AMBUJACEM,1270
APOLLOHOSP,157
APOLLOTYRE,163
ASHOKLEY,212
ASIANPAINT,236
ASTRAL,14418
ATUL,263
AUBANK,21238
AUROPHARMA,275
AXISBANK,5900
BAJAJ-AUTO,16669
BAJAJFINSV,16675
BAJFINANCE,317
BALKRISIND,335
BALRAMCHIN,341
BANDHANBNK,2263
BANKBARODA,4668
BATAINDIA,371
BEL,383
BERGEPAINT,404
BHARATFORG,422
BHARTIARTL,10604
BHEL,438
BIOCON,11373
BOSCHLTD,2181
BPCL,526
BRITANNIA,547
BSOFT,6994
CANBK,10794
CANFINHOME,583
CHAMBLFERT,637
CHOLAFIN,685
CIPLA,694
COALINDIA,20374
COFORGE,11543
COLPAL,15141
CONCOR,4749
COROMANDEL,739
CROMPTON,17094
CUB,5701
CUMMINSIND,1901
DABUR,772
DALBHARAT,8075
DEEPAKNTR,19943
DELTACORP,15044
DIVISLAB,10940
DIXON,21690
DLF,14732
DRREDDY,881
EICHERMOT,910
ESCORTS,958
EXIDEIND,676
FEDERALBNK,1023
FSL,14304
GAIL,4717
GLENMARK,7406
GNFC,1174
GODREJCP,10099
GODREJPROP,17875
GRANULES,11872
GRASIM,1232
GUJGASLTD,10599
HAL,2303
HAVELLS,9819
HCLTECH,7229
HDFCAMC,4244
HDFCBANK,1333
HDFCLIFE,467
HINDALCO,1363
HINDCOPPER,17939
HINDPETRO,1406
HINDUNILVR,1394
HONAUT,3417
IBULHSGFIN,30125
ICICIBANK,4963
ICICIGI,21770
ICICIPRULI,18652
IDFC,11957
IDFCFIRSTB,11184
IEX,220
IGL,11262
INDHOTEL,1512
INDIACEM,1515
INDIAMART,10726
INDIGO,11195
INDUSINDBK,5258
INDUSTOWER,29135
INFY,1594
INTELLECT,5926
IOC,1624
IPCALAB,1633
IRCTC,13611
ITC,1660
JINDALSTEL,6733
JKCEMENT,13270
JSWSTEEL,11723
JUBLFOOD,18096
KOTAKBANK,1922
LALPATHLAB,11654
LAURUSLABS,19234
LICHSGFIN,1997
LT,11483
LTIM,17818
LTTS,18564
LUPIN,10440
MANAPPURAM,19061
MARICO,4067
MARUTI,10999
MCDOWELL-N,10447
MCX,31181
METROPOLIS,9581
MFSL,2142
MGL,17534
MOTHERSON,4204
MPHASIS,4503
MRF,2277
MUTHOOTFIN,23650
NATIONALUM,6364
NAUKRI,13751
NAVINFLUOR,14672
NESTLEIND,17963
NMDC,15332
NTPC,11630
OBEROIRLTY,20242
OFSS,10738
ONGC,2475
PAGEIND,14413
PEL,2412
PERSISTENT,18365
PETRONET,11351
PFC,14299
PIDILITIND,2664
PIIND,24184
PNB,10666
POLYCAB,9590
POWERGRID,14977
PVRINOX,13147
RAIN,15337
RAMCOCEM,2043
RBLBANK,18391
RECLTD,15355
RELIANCE,2885
SAIL,2963
SBICARD,17971
SBILIFE,21808
SBIN,3045
SHREECEM,3103
SHRIRAMFIN,4306
SIEMENS,3150
SRF,3273
SUNPHARMA,3351
SUNTV,13404
SYNGENE,10243
TATACHEM,3405
TATACOMM,3721
TATACONSUM,3432
TATAMOTORS,3456
TATAPOWER,3426
TATASTEEL,3499
TCS,11536
TECHM,13538
TITAN,3506
TORNTPHARM,3518
TORNTPOWER,13786
TRENT,1964
TVSMOTOR,8479
UBL,16713
ULTRACEMCO,11532
UPL,11287
VEDL,3063
VOLTAS,3718
WHIRLPOOL,18011
WIPRO,3787
ZEEL,3812
ZYDUSLIFE,7929
FORTIS,14592
GLAND,1186
HINDZINC,1424
INDIANB,14309
IRFC,2029
PRESTIGE,20302
UNIONBANK,10753
VBL,18921
SONACOMS,4684
LICI,9480
