symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-2.55,469.95,460.0,461.15,463.7,467.4,473.65,477.35,457.45,453.75,447.5
ABB,-0.35,4550.0,4479.1,4505.1,4511.4,4543.7,4582.3,4614.6,4472.8,4440.5,4401.9
ABBOTINDIA,0.58,24744.25,23801.0,23887.75,24144.33,24487.66,25087.58,25430.91,23544.41,23201.08,22601.16
ABCAPITAL,-0.86,187.85,184.3,185.05,185.73,187.16,189.28,190.71,183.61,182.18,180.06
ABFRL,-1.27,218.1,212.5,213.35,214.65,216.8,220.25,222.4,211.2,209.05,205.6
ALKEM,-2.03,4243.0,4107.05,4141.4,4163.82,4220.59,4299.77,4356.54,4084.64,4027.87,3948.69
AMARAJABAT,-0.08,626.95,622.45,623.95,624.45,626.45,628.95,630.95,621.95,619.95,617.45
APOLLOHOSP,-1.18,4981.45,4903.6,4922.5,4935.85,4968.1,5013.7,5045.95,4890.25,4858.0,4812.4
APOLLOTYRE,-1.6,438.35,430.0,431.55,433.3,436.6,441.65,444.95,428.25,424.95,419.9
ASHOKLEY,-0.72,189.6,185.45,186.2,187.08,188.71,191.23,192.86,184.56,182.93,180.41
ASIANPAINT,-2.79,3320.0,3230.0,3237.9,3262.63,3295.26,3352.63,3385.26,3205.26,3172.63,3115.26
ASTRAL,-0.16,1989.95,1963.3,1974.15,1975.8,1988.3,2002.45,2014.95,1961.65,1949.15,1935.0
ATUL,-0.81,6937.0,6789.1,6843.3,6856.47,6923.84,7004.37,7071.74,6775.94,6708.57,6628.04
AUBANK,-2.16,718.25,697.1,701.9,705.75,714.4,726.9,735.55,693.25,684.6,672.1
AUROPHARMA,-0.63,886.1,865.55,873.75,875.13,884.71,895.68,905.26,864.16,854.58,843.61
AXISBANK,-1.08,951.95,937.3,939.75,943.0,948.7,957.65,963.35,934.05,928.35,919.4
BAJAJ-AUTO,-0.64,4708.4,4628.8,4636.6,4657.93,4687.06,4737.53,4766.66,4607.46,4578.33,4527.86
BAJAJFINSV,0.18,1529.75,1505.1,1519.4,1518.08,1531.06,1542.73,1555.71,1506.41,1493.43,1481.76
BAJFINANCE,0.26,7174.0,7092.0,7143.85,7136.62,7181.24,7218.62,7263.24,7099.24,7054.62,7017.24
BALKRISIND,0.38,2373.0,2340.6,2363.85,2359.15,2377.7,2391.55,2410.1,2345.3,2326.75,2312.9
BALRAMCHIN,0.13,399.0,393.15,395.2,395.78,398.41,401.63,404.26,392.56,389.93,386.71
BANDHANBNK,-1.51,232.5,227.35,228.8,229.55,231.75,234.7,236.9,226.6,224.4,221.45
BANKBARODA,-1.11,194.8,190.75,191.9,192.48,194.21,196.53,198.26,190.16,188.43,186.11
BATAINDIA,-3.2,1696.0,1637.8,1645.9,1659.9,1682.0,1718.1,1740.2,1623.8,1601.7,1565.6
BEL,-1.75,133.15,129.1,129.4,130.55,132.0,134.6,136.05,127.95,126.5,123.9
BERGEPAINT,-0.78,704.0,681.45,693.15,692.87,704.29,715.42,726.84,681.74,670.32,659.19
BHARATFORG,-1.31,979.65,946.45,950.5,958.87,971.29,992.07,1004.49,938.09,925.67,904.89
BHARTIARTL,-1.01,883.9,868.2,874.8,875.63,883.06,891.33,898.76,867.36,859.93,851.66
