symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0.45,478.3,471.8,474.85,474.98,478.16,481.48,484.66,471.66,468.48,465.16
ABB,1.98,4541.15,4417.6,4525.95,4494.9,4572.2,4618.45,4695.75,4448.65,4371.35,4325.1
ABBOTINDIA,0.42,24223.35,23618.1,23964.75,23935.4,24252.7,24540.65,24857.95,23647.45,23330.15,23042.2
ABCAPITAL,-1.56,189.7,184.05,185.55,186.43,188.81,192.08,194.46,183.16,180.78,177.51
ABFRL,-4.93,209.5,192.95,199.45,200.63,208.31,217.18,224.86,191.76,184.08,175.21
ALKEM,0.8,4168.7,4055.35,4131.85,4118.63,4181.91,4231.98,4295.26,4068.56,4005.28,3955.21
AMARAJABAT,0.09,631.5,624.0,626.7,627.4,630.8,634.9,638.3,623.3,619.9,615.8
APOLLOHOSP,0.68,5024.9,4956.35,5014.4,4998.55,5040.75,5067.1,5109.3,4972.2,4930.0,4903.65
APOLLOTYRE,-0.56,440.85,431.4,434.85,435.7,440.0,445.15,449.45,430.55,426.25,421.1
ASHOKLEY,0.3,183.55,181.6,183.05,182.73,183.86,184.68,185.81,181.91,180.78,179.96
ASIANPAINT,0.1,3350.0,3316.0,3343.0,3336.33,3356.66,3370.33,3390.66,3322.66,3302.33,3288.66
ASTRAL,-1.73,2037.95,1985.5,1990.7,2004.72,2023.94,2057.17,2076.39,1971.49,1952.27,1919.04
ATUL,-0.45,7100.75,7020.5,7046.2,7055.82,7091.14,7136.07,7171.39,7010.89,6975.57,6930.64
AUBANK,-1.75,742.0,723.1,725.95,730.35,737.6,749.25,756.5,718.7,711.45,699.8
AUROPHARMA,3.17,874.3,839.05,868.25,860.53,882.01,895.78,917.26,846.76,825.28,811.51
AXISBANK,-0.51,955.0,944.55,947.4,948.98,953.41,959.43,963.86,942.96,938.53,932.51
BAJAJ-AUTO,-0.89,4743.55,4665.0,4670.1,4692.88,4720.76,4771.43,4799.31,4642.21,4614.33,4563.66
BAJAJFINSV,1.49,1512.25,1485.0,1508.4,1501.88,1518.76,1529.13,1546.01,1491.51,1474.63,1464.26
BAJFINANCE,-0.37,7182.75,7071.6,7122.15,7125.5,7179.4,7236.65,7290.55,7068.25,7014.35,6957.1
BALKRISIND,-4.52,2489.0,2364.0,2370.35,2407.78,2451.56,2532.78,2576.56,2326.56,2282.78,2201.56
BALRAMCHIN,-2.27,423.0,401.3,403.35,409.22,417.14,430.92,438.84,395.44,387.52,373.74
BANDHANBNK,0.75,231.15,224.65,229.8,228.53,232.41,235.03,238.91,225.91,222.03,219.41
BANKBARODA,-1.02,193.95,187.7,189.4,190.35,193.0,196.6,199.25,186.75,184.1,180.5
BATAINDIA,0.36,1771.0,1744.4,1765.4,1760.27,1776.14,1786.87,1802.74,1749.54,1733.67,1722.94
BEL,0.74,129.2,126.6,128.55,128.12,129.64,130.72,132.24,127.04,125.52,124.44
BERGEPAINT,0.31,707.9,698.0,706.85,704.25,710.5,714.15,720.4,700.6,694.35,690.7
BHARATFORG,-0.26,927.55,907.0,910.2,914.92,922.84,935.47,943.39,902.29,894.37,881.74
BHARTIARTL,0.2,900.55,884.1,891.4,892.02,899.94,908.47,916.39,883.49,875.57,867.04
BHEL,-2.37,99.6,94.8,96.6,97.0,99.2,101.8,104.0,94.4,92.2,89.6
BIOCON,3.1,264.3,253.3,261.4,259.67,266.04,270.67,277.04,255.04,248.67,244.04
BOSCHLTD,-0.33,18399.0,18136.0,18196.55,18243.85,18351.7,18506.85,18614.7,18088.7,17980.85,17825.7
BPCL,0.07,363.45,358.1,360.65,360.73,363.36,366.08,368.71,358.01,355.38,352.66
BRITANNIA,-2.89,4815.0,4618.2,4659.75,4697.65,4777.1,4894.45,4973.9,4580.3,4500.85,4383.5
BSOFT,2.23,449.65,437.1,448.6,445.12,453.14,457.67,465.69,440.59,432.57,428.04
CANBK,-0.03,332.0,327.7,328.65,329.45,331.2,333.75,335.5,326.9,325.15,322.6
CANFINHOME,1.39,751.0,734.65,743.3,742.98,751.31,759.33,767.66,734.96,726.63,718.61
CHAMBLFERT,0.83,275.85,270.3,273.75,273.3,276.3,278.85,281.85,270.75,267.75,265.2
CHOLAFIN,-1.6,1083.8,1063.2,1067.95,1071.65,1080.1,1092.25,1100.7,1059.5,1051.05,1038.9
CIPLA,1.15,1228.5,1174.2,1223.65,1208.78,1243.36,1263.08,1297.66,1189.06,1154.48,1134.76
COALINDIA,-0.34,236.0,232.3,232.95,233.75,235.2,237.45,238.9,231.5,230.05,227.8
COFORGE,1.11,4958.0,4885.25,4942.65,4928.63,4972.01,5001.38,5044.76,4899.26,4855.88,4826.51
COLPAL,-0.02,2017.9,1990.05,1995.0,2000.98,2011.91,2028.83,2039.76,1984.06,1973.13,1956.21
CONCOR,0.55,700.0,685.55,699.0,694.85,704.15,709.3,718.6,689.7,680.4,675.25
COROMANDEL,0.38,1052.0,1035.0,1046.65,1044.55,1054.1,1061.55,1071.1,1037.1,1027.55,1020.1
CROMPTON,1.35,302.5,296.6,301.15,300.08,303.56,305.98,309.46,297.66,294.18,291.76
CUB,0.53,134.0,131.8,133.45,133.08,134.36,135.28,136.56,132.16,130.88,129.96
CUMMINSIND,-2.47,1791.9,1742.0,1751.75,1761.88,1781.76,1811.78,1831.66,1731.86,1711.98,1681.96
DABUR,-0.77,567.8,558.1,565.3,563.73,569.36,573.43,579.06,559.66,554.03,549.96
DALBHARAT,0.74,2018.0,1971.75,2004.8,1998.18,2024.61,2044.43,2070.86,1978.36,1951.93,1932.11
DEEPAKNTR,0.26,2084.3,2023.05,2046.75,2051.37,2079.69,2112.62,2140.94,2018.44,1990.12,1957.19
DELTACORP,-2.73,186.3,180.9,181.55,182.92,184.94,188.32,190.34,179.54,177.52,174.14
DIVISLAB,4.41,3920.0,3760.0,3910.55,3863.52,3967.04,4023.52,4127.04,3807.04,3703.52,3647.04
DIXON,1.61,4719.6,4385.05,4690.35,4598.33,4811.61,4932.88,5146.16,4477.06,4263.78,4142.51
DLF,-0.1,492.65,485.4,489.15,489.07,492.74,496.32,499.99,485.49,481.82,478.24
DRREDDY,-0.33,5688.0,5618.9,5630.7,5645.87,5672.84,5714.97,5741.94,5603.74,5576.77,5534.64
EICHERMOT,-0.11,3377.15,3339.7,3355.85,3357.57,3375.44,3395.02,3412.89,3337.99,3320.12,3300.54
ESCORTS,-1.0,2590.0,2530.0,2549.7,2556.57,2583.14,2616.57,2643.14,2523.14,2496.57,2463.14
EXIDEIND,2.47,263.95,257.3,263.0,261.42,265.54,268.07,272.19,258.89,254.77,252.24
FEDERALBNK,-0.41,135.15,133.1,134.05,134.1,135.1,136.15,137.15,133.05,132.05,131.0
FSL,-1.04,150.2,145.75,147.55,147.83,149.91,152.28,154.36,145.46,143.38,141.01
GAIL,-0.91,116.55,114.1,114.25,114.97,115.84,117.42,118.29,113.39,112.52,110.94
GLENMARK,1.55,817.95,800.15,816.0,811.37,822.59,829.17,840.39,804.79,793.57,786.99
GNFC,-4.45,588.5,553.3,559.7,567.17,581.04,602.37,616.24,545.84,531.97,510.64
GODREJCP,1.29,1034.9,1010.05,1030.7,1025.22,1040.39,1050.07,1065.24,1015.54,1000.37,990.69
GODREJPROP,1.68,1566.45,1516.35,1561.65,1548.15,1579.95,1598.25,1630.05,1529.85,1498.05,1479.75
GRANULES,0.71,322.4,317.2,320.55,320.05,322.9,325.25,328.1,317.7,314.85,312.5
GRASIM,1.65,1864.95,1826.05,1855.6,1848.87,1871.69,1887.77,1910.59,1832.79,1809.97,1793.89
GUJGASLTD,2.4,463.35,450.8,461.7,458.62,466.44,471.17,478.99,453.89,446.07,441.34
HAL,0.05,3779.85,3745.0,3752.05,3758.97,3772.94,3793.82,3807.79,3738.09,3724.12,3703.24
HAVELLS,0.46,1323.45,1312.0,1319.95,1318.47,1324.94,1329.92,1336.39,1313.49,1307.02,1302.04
HCLTECH,0.56,1155.75,1143.15,1150.8,1149.9,1156.65,1162.5,1169.25,1144.05,1137.3,1131.45
HDFCAMC,1.85,2468.9,2397.6,2450.9,2439.13,2480.66,2510.43,2551.96,2409.36,2367.83,2338.06
HDFCBANK,-0.06,1663.1,1647.55,1651.25,1653.97,1660.39,1669.52,1675.94,1644.84,1638.42,1629.29
HDFCLIFE,1.03,649.75,639.25,648.8,645.93,652.61,656.43,663.11,642.11,635.43,631.61
HINDALCO,1.72,467.35,459.15,464.85,463.78,468.41,471.98,476.61,460.21,455.58,452.01
HINDCOPPER,-3.44,155.5,148.0,148.7,150.73,153.46,158.23,160.96,145.96,143.23,138.46
HINDPETRO,0.41,269.0,263.0,267.8,266.6,270.2,272.6,276.2,264.2,260.6,258.2
HINDUNILVR,0.91,2574.0,2538.75,2569.2,2560.65,2582.55,2595.9,2617.8,2547.3,2525.4,2512.05
HONAUT,0.09,42649.95,42142.0,42364.75,42385.57,42629.14,42893.52,43137.09,42121.19,41877.62,41613.24
IBULHSGFIN,-0.51,168.0,160.25,165.35,164.53,168.81,172.28,176.56,161.06,156.78,153.31
ICICIBANK,0.53,981.5,968.2,975.65,975.12,982.04,988.42,995.34,968.74,961.82,955.44
ICICIGI,2.29,1422.0,1368.1,1398.2,1396.1,1424.1,1450.0,1478.0,1370.2,1342.2,1316.3
ICICIPRULI,-0.07,581.9,571.25,578.6,577.25,583.25,587.9,593.9,572.6,566.6,561.95
IDFC,0.72,120.55,118.4,119.45,119.47,120.54,121.62,122.69,118.39,117.32,116.24
IDFCFIRSTB,0.23,88.45,87.1,87.65,87.73,88.36,89.08,89.71,87.01,86.38,85.66
IEX,-0.12,129.55,126.35,126.9,127.6,128.85,130.8,132.05,125.65,124.4,122.45
IGL,0.41,459.95,453.8,457.2,456.98,460.16,463.13,466.31,454.01,450.83,447.86
INDHOTEL,-0.37,399.25,392.75,394.4,395.47,398.19,401.97,404.69,391.69,388.97,385.19
INDIACEM,-4.0,225.95,214.5,215.75,218.73,222.96,230.18,234.41,211.51,207.28,200.06
INDIAMART,1.48,3183.9,3106.6,3171.5,3154.0,3201.4,3231.3,3278.7,3124.1,3076.7,3046.8
INDIGO,0.62,2550.0,2472.05,2528.45,2516.83,2561.61,2594.78,2639.56,2483.66,2438.88,2405.71
INDUSINDBK,0.4,1417.65,1399.35,1415.25,1410.75,1422.15,1429.05,1440.45,1403.85,1392.45,1385.55
INDUSTOWER,0.4,175.75,172.9,173.7,174.12,175.34,176.97,178.19,172.49,171.27,169.64
INFY,1.06,1395.0,1377.0,1393.0,1388.33,1399.66,1406.33,1417.66,1381.66,1370.33,1363.66
INTELLECT,1.11,709.95,692.45,699.65,700.68,708.91,718.18,726.41,691.41,683.18,673.91
IOC,0.6,93.0,92.0,92.85,92.62,93.24,93.62,94.24,92.24,91.62,91.24
IPCALAB,2.4,943.0,902.95,930.1,925.35,947.75,965.4,987.8,907.7,885.3,867.65
IRCTC,0.04,658.5,649.15,653.8,653.82,658.49,663.17,667.84,649.14,644.47,639.79
ITC,-0.01,456.55,450.95,454.9,454.13,457.31,459.73,462.91,451.71,448.53,446.11
JINDALSTEL,0.73,660.0,649.7,657.45,655.72,661.74,666.02,672.04,651.44,645.42,641.14
JKCEMENT,1.03,3253.9,3181.0,3242.4,3225.77,3270.54,3298.67,3343.44,3197.64,3152.87,3124.74
JSWSTEEL,0.88,816.6,803.55,813.05,811.07,818.59,824.12,831.64,805.54,798.02,792.49
JUBLFOOD,-0.7,532.35,511.9,513.55,519.27,526.64,539.72,547.09,506.19,498.82,485.74
KOTAKBANK,-0.38,1845.0,1826.4,1831.55,1834.32,1842.24,1852.92,1860.84,1823.64,1815.72,1805.04
LALPATHLAB,1.03,2386.0,2344.1,2374.25,2368.12,2392.14,2410.02,2434.04,2350.24,2326.22,2308.34
LAURUSLABS,2.0,403.85,390.25,400.15,398.08,405.91,411.68,419.51,392.31,384.48,378.71
LICHSGFIN,3.34,445.45,423.15,440.9,436.5,449.85,458.8,472.15,427.55,414.2,405.25
LT,0.34,2654.0,2623.1,2635.9,2637.67,2652.24,2668.57,2683.14,2621.34,2606.77,2590.44
LTIM,2.15,5059.3,4930.85,5047.05,5012.4,5093.95,5140.85,5222.4,4965.5,4883.95,4837.05
LTTS,0.58,4269.95,4170.0,4239.7,4226.55,4283.1,4326.5,4383.05,4183.15,4126.6,4083.2
LUPIN,1.61,1094.7,1043.5,1081.15,1073.12,1102.74,1124.32,1153.94,1051.54,1021.92,1000.34
MANAPPURAM,2.19,137.6,133.55,137.35,136.17,138.79,140.22,142.84,134.74,132.12,130.69
MARICO,-0.07,577.45,572.25,575.8,575.17,578.09,580.37,583.29,572.89,569.97,567.69
MARUTI,0.56,9539.8,9422.0,9523.8,9495.2,9568.4,9613.0,9686.2,9450.6,9377.4,9332.8
MCDOWELL-N,-0.0,1009.0,990.2,1005.9,1001.7,1013.2,1020.5,1032.0,994.4,982.9,975.6
MCX,-0.41,1643.0,1616.0,1627.15,1628.72,1641.44,1655.72,1668.44,1614.44,1601.72,1587.44
METROPOLIS,2.67,1400.0,1364.2,1395.6,1386.6,1409.0,1422.4,1444.8,1373.2,1350.8,1337.4
MFSL,1.84,789.0,770.15,785.25,781.47,792.79,800.32,811.64,773.94,762.62,755.09
MGL,0.72,1093.75,1059.0,1063.85,1072.2,1085.4,1106.95,1120.15,1050.65,1037.45,1015.9
MOTHERSON,2.02,98.95,96.2,98.65,97.93,99.66,100.68,102.41,96.91,95.18,94.16
MPHASIS,2.94,2342.45,2260.0,2330.15,2310.87,2361.74,2393.32,2444.19,2279.29,2228.42,2196.84
MRF,-2.77,111500.0,107912.35,108216.25,109209.53,110506.71,112797.18,114094.36,106919.06,105621.88,103331.41
MUTHOOTFIN,0.96,1365.0,1341.35,1362.05,1356.13,1370.91,1379.78,1394.56,1347.26,1332.48,1323.61
NATIONALUM,-0.16,95.85,94.65,94.9,95.13,95.61,96.33,96.81,94.41,93.93,93.21
NAUKRI,-1.25,4984.5,4808.55,4825.8,4872.95,4937.35,5048.9,5113.3,4761.4,4697.0,4585.45
NAVINFLUOR,-2.24,4456.0,4345.05,4404.7,4401.92,4458.79,4512.87,4569.74,4347.84,4290.97,4236.89
NESTLEIND,0.02,22551.6,22150.0,22459.3,22386.97,22623.94,22788.57,23025.54,22222.34,21985.37,21820.74
NMDC,-0.57,113.95,111.9,112.6,112.82,113.74,114.87,115.79,111.69,110.77,109.64
NTPC,0.0,221.35,217.65,217.95,218.98,220.31,222.68,224.01,216.61,215.28,212.91
OBEROIRLTY,-1.99,1117.45,1087.1,1099.55,1101.37,1115.64,1131.72,1145.99,1085.29,1071.02,1054.94
OFSS,1.78,3964.0,3860.1,3952.6,3925.57,3991.04,4029.47,4094.94,3887.14,3821.67,3783.24
ONGC,-0.23,174.5,172.1,172.95,173.18,174.26,175.58,176.66,171.86,170.78,169.46
PAGEIND,1.1,39375.0,38700.3,39338.85,39138.05,39575.8,39812.75,40250.5,38901.1,38463.35,38226.4
PEL,1.67,988.8,965.25,982.4,978.82,992.39,1002.37,1015.94,968.84,955.27,945.29
PERSISTENT,2.01,4904.75,4772.0,4882.1,4852.95,4933.9,4985.7,5066.65,4801.15,4720.2,4668.4
PETRONET,1.07,227.0,224.15,226.5,225.88,227.61,228.73,230.46,224.76,223.03,221.91
PFC,3.19,267.95,257.7,266.85,264.17,270.64,274.42,280.89,260.39,253.92,250.14
PIDILITIND,0.03,2623.6,2600.0,2610.6,2611.4,2622.8,2635.0,2646.4,2599.2,2587.8,2575.6
PIIND,2.07,3787.0,3720.0,3778.35,3761.78,3803.56,3828.78,3870.56,3736.56,3694.78,3669.56
PNB,0.75,61.0,59.85,60.4,60.42,60.99,61.57,62.14,59.84,59.27,58.69
POLYCAB,-0.34,4655.0,4559.1,4599.35,4604.48,4649.86,4700.38,4745.76,4553.96,4508.58,4458.06
POWERGRID,0.24,248.95,246.0,247.95,247.63,249.26,250.58,252.21,246.31,244.68,243.36
PVRINOX,-1.0,1628.95,1593.9,1600.8,1607.88,1621.86,1642.93,1656.91,1586.81,1572.83,1551.76
RAMCOCEM,-0.28,881.8,841.0,874.15,865.65,890.3,906.45,931.1,849.5,824.85,808.7
RBLBANK,-0.05,218.95,212.7,216.0,215.88,219.06,222.13,225.31,212.81,209.63,206.56
RECLTD,6.34,213.0,198.35,212.05,207.8,217.25,222.45,231.9,202.6,193.15,187.95
RELIANCE,0.57,2528.4,2505.0,2523.85,2519.08,2533.16,2542.48,2556.56,2509.76,2495.68,2486.36
SAIL,0.05,94.5,93.2,94.05,93.92,94.64,95.22,95.94,93.34,92.62,92.04
