symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0.91,473.7,460.95,470.4,468.35,475.75,481.1,488.5,463.0,455.6,450.25
ABB,0.52,4317.65,4199.2,4225.8,4247.55,4295.9,4366.0,4414.35,4177.45,4129.1,4059.0
ABBOTINDIA,-2.03,23522.95,23150.0,23183.85,23285.6,23421.2,23658.55,23794.15,23048.25,22912.65,22675.3
ABCAPITAL,-0.13,187.45,184.9,185.8,186.05,187.2,188.6,189.75,184.65,183.5,182.1
ABFRL,-0.42,214.8,212.4,213.1,213.43,214.46,215.83,216.86,212.06,211.03,209.66
ACC,-1.87,1803.4,1762.65,1766.7,1777.58,1792.51,1818.33,1833.26,1751.76,1736.83,1711.01
ADANIENT,-0.14,2457.85,2395.3,2416.3,2423.15,2451.0,2485.7,2513.55,2388.45,2360.6,2325.9
ADANIPORTS,-0.55,735.35,726.3,728.45,730.03,733.76,739.08,742.81,724.71,720.98,715.66
ALKEM,0.29,3711.7,3651.1,3700.95,3687.92,3724.74,3748.52,3785.34,3664.14,3627.32,3603.54
AMARAJABAT,1.94,626.55,614.3,624.15,621.67,629.04,633.92,641.29,616.79,609.42,604.54
AMBUJACEM,-1.14,419.5,415.3,416.1,416.97,418.64,421.17,422.84,414.44,412.77,410.24
APOLLOHOSP,0.18,5253.0,5125.05,5204.9,5194.32,5263.59,5322.27,5391.54,5135.64,5066.37,5007.69
APOLLOTYRE,-0.24,421.85,416.3,418.55,418.9,421.5,424.45,427.05,415.95,413.35,410.4
ASHOKLEY,3.5,183.2,174.65,181.85,179.9,185.15,188.45,193.7,176.6,171.35,168.05
ASIANPAINT,-0.24,3537.95,3505.0,3517.7,3520.22,3535.44,3553.17,3568.39,3502.49,3487.27,3469.54
ASTRAL,1.78,1939.0,1855.85,1922.4,1905.75,1955.65,1988.9,2038.8,1872.5,1822.6,1789.35
ATUL,6.56,7049.9,6466.75,7014.15,6843.6,7220.45,7426.75,7803.6,6637.3,6260.45,6054.15
AUBANK,-0.65,775.85,761.05,767.3,768.07,775.09,782.87,789.89,760.29,753.27,745.49
AUROPHARMA,0.9,791.55,771.0,779.55,780.7,790.4,801.25,810.95,769.85,760.15,749.3
AXISBANK,-0.67,985.0,968.0,971.3,974.77,981.54,991.77,998.54,964.54,957.77,947.54
BAJAJ-AUTO,-0.12,4879.4,4835.25,4862.7,4859.12,4882.99,4903.27,4927.14,4838.84,4814.97,4794.69
BAJAJFINSV,-0.18,1645.0,1620.3,1632.85,1632.72,1645.14,1657.42,1669.84,1620.44,1608.02,1595.74
BAJFINANCE,-0.2,7657.7,7533.1,7581.75,7590.85,7648.6,7715.45,7773.2,7524.0,7466.25,7399.4
BALKRISIND,0.27,2425.0,2384.85,2415.9,2408.58,2432.31,2448.73,2472.46,2392.16,2368.43,2352.01
BALRAMCHIN,0.45,394.55,383.25,391.7,389.83,396.41,401.13,407.71,385.11,378.53,373.81
BANDHANBNK,3.0,218.85,210.0,218.0,215.62,221.24,224.47,230.09,212.39,206.77,203.54
BANKBARODA,-1.23,201.85,196.2,196.6,198.22,200.24,203.87,205.89,194.59,192.57,188.94
BATAINDIA,-0.85,1700.05,1670.25,1683.65,1684.65,1699.05,1714.45,1728.85,1669.25,1654.85,1639.45
BEL,-0.83,126.65,124.75,124.95,125.45,126.15,127.35,128.05,124.25,123.55,122.35
BERGEPAINT,0.97,695.45,677.4,691.15,688.0,698.6,706.05,716.65,680.55,669.95,662.5
BHARATFORG,0.06,855.45,844.0,852.15,850.53,857.06,861.98,868.51,845.61,839.08,834.16
BHARTIARTL,0.13,891.9,874.8,886.0,884.23,893.66,901.33,910.76,876.56,867.13,859.46
BHEL,-1.31,97.25,94.1,94.5,95.28,96.46,98.43,99.61,93.31,92.13,90.16
BIOCON,-0.86,267.25,262.75,263.95,264.65,266.55,269.15,271.05,262.05,260.15,257.55
BOSCHLTD,-0.79,19060.0,18779.1,18907.65,18915.58,19052.06,19196.48,19332.96,18771.16,18634.68,18490.26
BPCL,0.7,393.0,386.0,390.65,389.88,393.76,396.88,400.76,386.76,382.88,379.76
BRITANNIA,-0.11,5108.95,5000.0,5047.0,5051.98,5103.96,5160.93,5212.91,4995.01,4943.03,4886.06
BSOFT,-1.75,393.5,381.0,385.6,386.7,392.4,399.2,404.9,379.9,374.2,367.4
CANBK,-0.54,344.65,337.05,338.15,339.95,342.85,347.55,350.45,335.25,332.35,327.65
CANFINHOME,0.79,845.45,824.7,837.65,835.93,847.16,856.68,867.91,826.41,815.18,805.66
CHAMBLFERT,-0.46,270.25,267.55,268.55,268.78,270.01,271.48,272.71,267.31,266.08,264.61
CHOLAFIN,-2.05,1164.2,1131.7,1134.75,1143.55,1155.4,1176.05,1187.9,1122.9,1111.05,1090.4
CIPLA,-0.72,1062.0,1045.05,1048.95,1052.0,1058.95,1068.95,1075.9,1042.0,1035.05,1025.05
COALINDIA,-0.33,230.5,228.55,229.0,229.35,230.15,231.3,232.1,228.2,227.4,226.25
COFORGE,-3.72,4916.25,4610.05,4640.3,4722.2,4834.35,5028.4,5140.55,4528.15,4416.0,4221.95
COLPAL,-0.29,1847.1,1821.05,1832.9,1833.68,1846.31,1859.73,1872.36,1820.26,1807.63,1794.21
CONCOR,-1.58,685.45,671.6,674.9,677.32,683.04,691.17,696.89,669.19,663.47,655.34
COROMANDEL,1.63,985.0,954.05,980.4,973.15,992.25,1004.1,1023.2,961.3,942.2,930.35
CROMPTON,-1.59,295.5,288.8,290.85,291.72,294.64,298.42,301.34,287.94,285.02,281.24
CUB,1.19,133.65,129.1,131.35,131.37,133.64,135.92,138.19,129.09,126.82,124.54
CUMMINSIND,-1.73,1920.0,1863.05,1883.65,1888.9,1914.75,1945.85,1971.7,1857.8,1831.95,1800.85
DABUR,-2.3,577.25,564.05,565.2,568.83,573.61,582.03,586.81,560.41,555.63,547.21
DALBHARAT,-4.94,2003.95,1915.35,1921.1,1946.8,1978.25,2035.4,2066.85,1889.65,1858.2,1801.05
DEEPAKNTR,-0.59,1994.65,1955.7,1979.3,1976.55,1997.4,2015.5,2036.35,1958.45,1937.6,1919.5
DELTACORP,-0.63,193.3,185.1,188.35,188.92,192.74,197.12,200.94,184.54,180.72,176.34
DIVISLAB,0.59,3747.0,3638.45,3688.3,3691.25,3744.05,3799.8,3852.6,3635.5,3582.7,3526.95
DIXON,-2.09,4275.3,4160.0,4176.4,4203.9,4247.8,4319.2,4363.1,4132.5,4088.6,4017.2
DLF,-0.85,505.0,496.0,500.6,500.53,505.06,509.53,514.06,496.06,491.53,487.06
DRREDDY,-0.96,5339.75,5277.6,5288.2,5301.85,5326.1,5364.0,5388.25,5263.95,5239.7,5201.8
EICHERMOT,-0.05,3336.0,3293.05,3315.5,3314.85,3336.65,3357.8,3379.6,3293.7,3271.9,3250.75
ESCORTS,-0.04,2375.55,2329.0,2343.7,2349.42,2369.84,2395.97,2416.39,2323.29,2302.87,2276.74
EXIDEIND,0.32,254.7,249.15,251.8,251.88,254.61,257.43,260.16,249.06,246.33,243.51
FEDERALBNK,-1.97,136.95,133.05,134.15,134.72,136.39,138.62,140.29,132.49,130.82,128.59
FSL,1.68,140.5,134.3,139.1,137.97,141.64,144.17,147.84,135.44,131.77,129.24
GAIL,0.95,112.3,109.65,111.5,111.15,112.65,113.8,115.3,110.0,108.5,107.35
GLENMARK,1.69,755.0,736.45,753.15,748.2,759.95,766.75,778.5,741.4,729.65,722.85
GNFC,-1.07,597.9,590.6,592.85,593.78,596.96,601.08,604.26,589.66,586.48,582.36
GODREJCP,-0.36,1081.8,1044.05,1056.55,1060.8,1077.55,1098.55,1115.3,1039.8,1023.05,1002.05
GODREJPROP,0.3,1638.9,1592.7,1627.05,1619.55,1646.4,1665.75,1692.6,1600.2,1573.35,1554.0
GRANULES,-0.53,314.9,309.0,309.8,311.23,313.46,317.13,319.36,307.56,305.33,301.66
GRASIM,-0.82,1824.95,1790.0,1804.6,1806.52,1823.04,1841.47,1857.99,1788.09,1771.57,1753.14
GUJGASLTD,0.45,471.45,463.05,469.0,467.83,472.61,476.23,481.01,464.21,459.43,455.81
HAL,0.46,3894.0,3843.0,3854.45,3863.82,3884.64,3914.82,3935.64,3833.64,3812.82,3782.64
HAVELLS,-3.32,1348.0,1281.7,1303.25,1310.98,1340.26,1377.28,1406.56,1273.96,1244.68,1207.66
HCLTECH,-3.49,1139.9,1095.0,1115.45,1116.78,1138.56,1161.68,1183.46,1093.66,1071.88,1048.76
HDFCAMC,-0.82,2520.0,2445.75,2499.55,2488.43,2531.11,2562.68,2605.36,2456.86,2414.18,2382.61
HDFCBANK,-0.77,1689.8,1673.25,1675.75,1679.6,1685.95,1696.15,1702.5,1669.4,1663.05,1652.85
HDFCLIFE,-2.08,662.5,633.65,647.3,647.82,661.99,676.67,690.84,633.14,618.97,604.29
HINDALCO,-1.6,441.45,433.65,434.5,436.53,439.41,444.33,447.21,431.61,428.73,423.81
HINDCOPPER,0.21,120.6,117.85,119.95,119.47,121.09,122.22,123.84,118.34,116.72,115.59
HINDPETRO,0.38,304.8,298.4,301.55,301.58,304.76,307.98,311.16,298.36,295.18,291.96
HINDUNILVR,-3.67,2676.35,2592.0,2604.0,2624.12,2656.24,2708.47,2740.59,2571.89,2539.77,2487.54
HONAUT,0.08,42900.0,41915.0,42618.3,42477.77,43040.54,43462.77,44025.54,42055.54,41492.77,41070.54
IBULHSGFIN,-1.86,123.4,120.8,121.25,121.82,122.84,124.42,125.44,120.24,119.22,117.64
ICICIBANK,0.14,1001.45,988.8,997.0,995.75,1002.7,1008.4,1015.35,990.05,983.1,977.4
ICICIGI,0.78,1423.3,1388.35,1409.55,1407.07,1425.79,1442.02,1460.74,1390.84,1372.12,1355.89
ICICIPRULI,0.6,554.5,545.05,551.05,550.2,555.35,559.65,564.8,545.9,540.75,536.45
IDFC,1.12,114.25,111.55,113.35,113.05,114.55,115.75,117.25,111.85,110.35,109.15
IDFCFIRSTB,1.78,83.15,81.0,82.85,82.33,83.66,84.48,85.81,81.51,80.18,79.36
IEX,-0.4,124.65,123.35,123.6,123.87,124.39,125.17,125.69,123.09,122.57,121.79
IGL,0.61,499.0,488.2,494.3,493.83,499.46,504.63,510.26,488.66,483.03,477.86
INDHOTEL,-1.22,401.35,390.6,393.75,395.23,399.86,405.98,410.61,389.11,384.48,378.36
INDIACEM,-1.89,210.8,206.0,207.4,208.07,210.14,212.87,214.94,205.34,203.27,200.54
INDIAMART,8.64,3335.55,2940.0,3151.0,3142.18,3344.36,3537.73,3739.91,2948.81,2746.63,2553.26
INDIGO,-1.9,2724.05,2667.7,2678.65,2690.13,2712.56,2746.48,2768.91,2656.21,2633.78,2599.86
INDUSINDBK,-1.25,1430.35,1400.6,1407.35,1412.77,1424.94,1442.52,1454.69,1395.19,1383.02,1365.44
INDUSTOWER,0.56,170.55,163.6,169.1,167.75,171.9,174.7,178.85,164.95,160.8,158.0
INFY,-8.13,1350.0,1305.0,1331.6,1328.87,1352.74,1373.87,1397.74,1307.74,1283.87,1262.74
INTELLECT,-0.56,634.95,620.0,632.2,629.05,638.1,644.0,653.05,623.15,614.1,608.2
IOC,0.61,99.85,98.6,99.35,99.27,99.94,100.52,101.19,98.69,98.02,97.44
IPCALAB,1.2,797.85,780.1,794.65,790.87,801.64,808.62,819.39,783.89,773.12,766.14
IRCTC,-0.33,630.4,620.4,623.1,624.63,628.86,634.63,638.86,618.86,614.63,608.86
ITC,-0.35,497.7,487.0,490.45,491.72,496.44,502.42,507.14,485.74,481.02,475.04
JINDALSTEL,-1.45,640.4,627.0,628.1,631.83,636.66,645.23,650.06,623.26,618.43,609.86
JKCEMENT,-0.79,3222.8,3140.0,3185.5,3182.77,3225.54,3265.57,3308.34,3142.74,3099.97,3059.94
JSWSTEEL,-1.58,823.35,782.6,786.45,797.47,812.34,838.22,853.09,771.59,756.72,730.84
JUBLFOOD,-1.29,476.55,464.75,466.95,469.42,474.09,481.22,485.89,462.29,457.62,450.49
KOTAKBANK,0.68,1987.75,1950.6,1970.2,1969.52,1988.44,2006.67,2025.59,1951.29,1932.37,1914.14
LALPATHLAB,-2.61,2350.15,2281.6,2286.9,2306.22,2330.84,2374.77,2399.39,2262.29,2237.67,2193.74
LAURUSLABS,-0.58,355.35,348.0,348.75,350.7,353.4,358.05,360.75,346.05,343.35,338.7
LICHSGFIN,-0.55,389.3,384.05,385.85,386.4,388.75,391.65,394.0,383.5,381.15,378.25
LT,3.88,2595.0,2521.1,2586.25,2567.45,2613.8,2641.35,2687.7,2539.9,2493.55,2466.0
LTIM,-1.25,5020.0,4855.0,4922.75,4932.58,5010.16,5097.58,5175.16,4845.16,4767.58,4680.16
LTTS,-1.19,4108.7,3979.9,4042.05,4043.55,4107.2,4172.35,4236.0,3978.4,3914.75,3849.6
LUPIN,-0.99,947.45,933.25,936.7,939.13,945.01,953.33,959.21,930.81,924.93,916.61
MANAPPURAM,2.14,129.5,125.8,129.05,128.12,130.44,131.82,134.14,126.74,124.42,123.04
MARICO,-0.09,542.5,535.0,538.65,538.72,542.44,546.22,549.94,534.94,531.22,527.44
MARUTI,-0.03,9845.0,9703.0,9770.05,9772.68,9842.36,9914.68,9984.36,9700.36,9630.68,9558.36
MCDOWELL-N,6.56,1044.0,975.1,1039.05,1019.38,1063.66,1088.28,1132.56,994.76,950.48,925.86
MCX,-0.23,1659.9,1596.05,1621.45,1625.8,1655.55,1689.65,1719.4,1591.7,1561.95,1527.85
METROPOLIS,-3.36,1438.75,1385.7,1390.4,1404.95,1424.2,1458.0,1477.25,1371.15,1351.9,1318.1
