symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-1.14,480.95,467.6,471.5,473.35,479.1,486.7,492.45,465.75,460.0,452.4
ABB,-2.47,4557.0,4380.0,4408.0,4448.33,4516.66,4625.33,4693.66,4339.66,4271.33,4162.66
ABBOTINDIA,0.59,24235.0,23743.2,24084.7,24020.97,24298.74,24512.77,24790.54,23806.94,23529.17,23315.14
ABCAPITAL,-3.16,195.4,185.0,189.95,190.12,195.24,200.52,205.64,184.84,179.72,174.44
ABFRL,-1.58,222.35,216.55,218.1,219.0,221.45,224.8,227.25,215.65,213.2,209.85
ACC,-1.96,2026.7,1961.5,1971.25,1986.48,2011.46,2051.68,2076.66,1946.26,1921.28,1881.06
ADANIENT,-0.3,2514.0,2451.0,2473.55,2479.52,2508.04,2542.52,2571.04,2445.04,2416.52,2382.04
ADANIPORTS,-0.51,773.9,751.55,761.45,762.3,773.05,784.65,795.4,750.7,739.95,728.35
ALKEM,-1.28,3973.5,3900.0,3935.5,3936.33,3972.66,4009.83,4046.16,3899.16,3862.83,3825.66
AMARAJABAT,-1.06,640.8,631.5,634.65,635.65,639.8,644.95,649.1,630.5,626.35,621.2
AMBUJACEM,-0.14,469.35,450.0,460.9,460.08,470.16,479.43,489.51,450.81,440.73,431.46
APOLLOHOSP,-0.71,5043.7,4976.0,4996.75,5005.48,5034.96,5073.18,5102.66,4967.26,4937.78,4899.56
APOLLOTYRE,-0.59,431.7,419.1,424.75,425.18,431.26,437.78,443.86,418.66,412.58,406.06
ASHOKLEY,-2.09,186.05,178.85,180.35,181.75,184.65,188.95,191.85,177.45,174.55,170.25
ASIANPAINT,0.6,3371.95,3330.65,3362.9,3355.17,3379.69,3396.47,3420.99,3338.39,3313.87,3297.09
ASTRAL,-1.01,2009.4,1952.0,1980.35,1980.58,2009.16,2037.98,2066.56,1951.76,1923.18,1894.36
ATUL,-1.62,7265.0,7030.0,7093.8,7129.6,7229.2,7364.6,7464.2,6994.2,6894.6,6759.2
AUBANK,0.59,730.65,714.0,725.9,723.52,733.04,740.17,749.69,716.39,706.87,699.74
AUROPHARMA,-0.28,820.0,805.65,816.2,813.95,822.25,828.3,836.6,807.9,799.6,793.55
AXISBANK,-1.53,958.9,936.6,945.25,946.92,957.24,969.22,979.54,934.94,924.62,912.64
BAJAJ-AUTO,-1.87,4937.95,4821.25,4832.1,4863.77,4906.29,4980.47,5022.99,4789.59,4747.07,4672.89
BAJAJFINSV,-2.88,1572.35,1524.0,1527.0,1541.12,1558.24,1589.47,1606.59,1509.89,1492.77,1461.54
BAJFINANCE,-0.91,7290.0,7145.0,7203.45,7212.82,7280.64,7357.82,7425.64,7135.64,7067.82,6990.64
BALKRISIND,-2.14,2528.45,2435.05,2469.55,2477.68,2520.31,2571.08,2613.71,2426.91,2384.28,2333.51
BALRAMCHIN,-1.79,410.5,393.05,400.45,401.33,409.61,418.78,427.06,392.16,383.88,374.71
BANDHANBNK,-1.01,226.65,221.1,225.5,224.42,227.74,229.97,233.29,222.19,218.87,216.64
BANKBARODA,-3.16,200.9,192.65,194.75,196.1,199.55,204.35,207.8,191.3,187.85,183.05
BATAINDIA,-0.28,1765.0,1742.6,1757.0,1754.87,1767.14,1777.27,1789.54,1744.74,1732.47,1722.34
BEL,-3.91,130.7,123.7,125.35,126.58,129.46,133.58,136.46,122.46,119.58,115.46
BERGEPAINT,1.32,717.3,696.2,711.65,708.38,720.56,729.48,741.66,699.46,687.28,678.36
BHARATFORG,-2.99,934.05,895.0,905.65,911.57,928.14,950.62,967.19,889.09,872.52,850.04
BHARTIARTL,-1.52,890.65,872.6,878.1,880.45,888.3,898.5,906.35,870.25,862.4,852.2
BHEL,-3.96,104.85,99.0,100.55,101.47,103.94,107.32,109.79,98.09,95.62,92.24
BIOCON,-1.11,256.7,250.65,252.95,253.43,256.21,259.48,262.26,250.16,247.38,244.11
BOSCHLTD,-3.86,19000.05,18108.9,18262.25,18457.07,18805.24,19348.22,19696.39,17914.09,17565.92,17022.94
BPCL,-2.23,378.7,367.5,369.1,371.77,376.04,382.97,387.24,364.84,360.57,353.64
BRITANNIA,-0.16,4839.0,4770.0,4809.45,4806.15,4842.3,4875.15,4911.3,4773.3,4737.15,4704.3
BSOFT,-1.49,431.8,418.4,425.7,425.3,432.2,438.7,445.6,418.8,411.9,405.4
CANBK,-3.93,340.5,323.75,327.25,330.5,337.25,347.25,354.0,320.5,313.75,303.75
CANFINHOME,-2.22,743.4,714.4,721.7,726.5,738.6,755.5,767.6,709.6,697.5,680.6
CHAMBLFERT,-2.09,281.0,271.25,273.9,275.38,279.51,285.13,289.26,269.76,265.63,260.01
CHOLAFIN,-2.75,1126.4,1073.45,1099.4,1099.75,1126.05,1152.7,1179.0,1073.1,1046.8,1020.15
CIPLA,-0.85,1185.0,1153.55,1168.3,1168.95,1184.35,1200.4,1215.8,1152.9,1137.5,1121.45
COALINDIA,-2.41,243.15,232.3,234.55,236.67,241.04,247.52,251.89,230.19,225.82,219.34
COFORGE,-1.82,4858.8,4700.05,4757.1,4771.98,4843.91,4930.73,5002.66,4685.16,4613.23,4526.41
COLPAL,-0.61,2009.95,1978.5,1994.15,1994.2,2009.9,2025.65,2041.35,1978.45,1962.75,1947.0
CONCOR,-2.04,696.9,674.0,679.4,683.43,692.86,706.33,715.76,669.96,660.53,647.06
COROMANDEL,-1.57,1040.0,1021.1,1027.0,1029.37,1037.64,1048.27,1056.54,1018.74,1010.47,999.84
CROMPTON,-1.75,292.0,286.1,287.05,288.38,290.66,294.28,296.56,284.76,282.48,278.86
CUB,-2.75,134.6,129.45,130.95,131.67,133.89,136.82,139.04,128.74,126.52,123.59
CUMMINSIND,-1.42,1926.9,1871.5,1899.8,1899.4,1927.3,1954.8,1982.7,1871.9,1844.0,1816.5
DABUR,-0.55,568.9,561.75,565.65,565.43,569.11,572.58,576.26,561.96,558.28,554.81
DALBHARAT,-0.16,2008.0,1961.95,1983.7,1984.55,2007.15,2030.6,2053.2,1961.1,1938.5,1915.05
DEEPAKNTR,-1.59,2044.8,1992.15,2013.2,2016.72,2041.29,2069.37,2093.94,1988.64,1964.07,1935.99
DELTACORP,-0.58,202.35,195.1,197.1,198.18,201.26,205.43,208.51,194.01,190.93,186.76
DIVISLAB,1.4,3695.0,3577.05,3690.6,3654.22,3731.39,3772.17,3849.34,3613.44,3536.27,3495.49
