symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-0.11,479.9,457.9,473.2,470.33,482.76,492.33,504.76,460.76,448.33,438.76
ABB,0.99,4557.0,4415.55,4520.95,4497.83,4580.11,4639.28,4721.56,4438.66,4356.38,4297.21
ABBOTINDIA,-0.11,24100.0,23660.0,23749.1,23836.37,24012.74,24276.37,24452.74,23572.74,23396.37,23132.74
ABCAPITAL,0.54,187.1,184.4,186.65,186.05,187.7,188.75,190.4,185.0,183.35,182.3
ABFRL,7.03,216.95,202.15,216.1,211.73,221.31,226.53,236.11,206.51,196.93,191.71
ALKEM,2.31,4234.9,4130.6,4227.25,4197.58,4264.56,4301.88,4368.86,4160.26,4093.28,4055.96
AMARAJABAT,-0.18,627.4,620.0,624.45,623.95,627.9,631.35,635.3,620.5,616.55,613.1
APOLLOHOSP,-0.84,5026.0,4958.0,4981.35,4988.45,5018.9,5056.45,5086.9,4950.9,4920.45,4882.9
APOLLOTYRE,0.1,439.85,434.15,438.55,437.52,440.89,443.22,446.59,435.19,431.82,429.49
ASHOKLEY,2.1,188.3,182.3,187.55,186.05,189.8,192.05,195.8,183.8,180.05,177.8
ASIANPAINT,-0.51,3356.95,3303.0,3331.0,3330.32,3357.64,3384.27,3411.59,3303.69,3276.37,3249.74
ASTRAL,0.6,1999.9,1955.4,1977.3,1977.53,1999.66,2022.03,2044.16,1955.16,1933.03,1910.66
ATUL,-0.92,6993.65,6884.95,6898.85,6925.82,6966.69,7034.52,7075.39,6857.99,6817.12,6749.29
AUBANK,-0.47,729.95,712.1,717.4,719.82,727.54,737.67,745.39,709.69,701.97,691.84
AUROPHARMA,1.32,885.0,865.0,879.25,876.42,887.84,896.42,907.84,867.84,856.42,847.84
AXISBANK,-0.3,953.3,944.3,950.0,949.2,954.1,958.2,963.1,945.1,940.2,936.1
BAJAJ-AUTO,0.35,4689.8,4616.1,4666.55,4657.48,4698.86,4731.18,4772.56,4625.16,4583.78,4551.46
