Stock,Signal,High,Low,Close
AXISBANK,sell,977.65,953.8,957.9
BANKBARODA,sell,200.4,195.6,195.9
BRITANNIA,sell,5007.0,4880.0,4889.05
PERSISTENT,sell,4808.5,4659.1,4669.95
SBIN,sell,621.8,604.2,607.85
UPL,sell,635.0,624.05,624.35
WIPRO,sell,405.5,401.25,401.65
