symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0.09,462.9,459.0,460.65,460.85,462.7,464.75,466.6,458.8,456.95,454.9
ABB,2.64,4541.95,4410.25,4516.2,4489.47,4568.69,4621.17,4700.39,4436.99,4357.77,4305.29
ABBOTINDIA,1.49,24142.95,23622.0,24059.95,23941.63,24261.26,24462.58,24782.21,23740.31,23420.68,23219.36
ABCAPITAL,1.23,195.4,191.55,193.95,193.63,195.71,197.48,199.56,191.86,189.78,188.01
ABFRL,2.6,223.65,216.7,223.05,221.13,225.56,228.08,232.51,218.61,214.18,211.66
ACC,0.43,1974.35,1913.6,1948.9,1945.62,1977.64,2006.37,2038.39,1916.89,1884.87,1856.14
ADANIENT,1.43,2481.65,2431.1,2463.2,2458.65,2486.2,2509.2,2536.75,2435.65,2408.1,2385.1
ADANIPORTS,0.93,760.8,743.1,755.7,753.2,763.3,770.9,781.0,745.6,735.5,727.9
ALKEM,-0.81,4042.55,3950.25,3995.7,3996.17,4042.09,4088.47,4134.39,3949.79,3903.87,3857.49
AMARAJABAT,-1.19,631.45,622.05,624.4,625.97,629.89,635.37,639.29,620.49,616.57,611.09
AMBUJACEM,1.12,456.65,448.05,454.8,453.17,458.29,461.77,466.89,449.69,444.57,441.09
APOLLOHOSP,2.52,5364.0,5177.0,5346.95,5295.98,5414.96,5482.98,5601.96,5227.96,5108.98,5040.96
APOLLOTYRE,1.08,425.0,417.4,424.3,422.23,427.06,429.83,434.66,419.46,414.63,411.86
ASHOKLEY,-1.43,182.0,178.05,179.3,179.78,181.51,183.73,185.46,177.56,175.83,173.61
ASIANPAINT,0.63,3399.0,3364.5,3390.7,3384.73,3404.96,3419.23,3439.46,3370.46,3350.23,3335.96
ASTRAL,0.45,1928.15,1892.0,1909.25,1909.8,1927.6,1945.95,1963.75,1891.45,1873.65,1855.3
ATUL,1.72,6672.95,6486.05,6622.6,6593.87,6701.69,6780.77,6888.59,6514.79,6406.97,6327.89
AUBANK,-0.55,734.4,722.85,725.2,727.48,732.11,739.03,743.66,720.56,715.93,709.01
AUROPHARMA,0.17,838.0,824.2,837.0,833.07,841.94,846.87,855.74,828.14,819.27,814.34
AXISBANK,-1.04,969.75,942.2,949.95,953.97,965.74,981.52,993.29,938.19,926.42,910.64
BAJAJ-AUTO,0.86,4900.0,4829.65,4892.5,4874.05,4918.45,4944.4,4988.8,4848.1,4803.7,4777.75
BAJAJFINSV,-1.84,1630.0,1568.4,1584.85,1594.42,1620.44,1656.02,1682.04,1558.84,1532.82,1497.24
BAJFINANCE,1.34,7394.6,7210.0,7381.6,7328.73,7447.46,7513.33,7632.06,7262.86,7144.13,7078.26
BALKRISIND,-0.35,2477.05,2440.25,2464.4,2460.57,2480.89,2497.37,2517.69,2444.09,2423.77,2407.29
BALRAMCHIN,-0.14,397.45,388.0,395.0,393.48,398.96,402.93,408.41,389.51,384.03,380.06
BANDHANBNK,0.25,218.85,213.85,217.1,216.6,219.35,221.6,224.35,214.35,211.6,209.35
BANKBARODA,0.93,201.8,197.5,201.1,200.13,202.76,204.43,207.06,198.46,195.83,194.16
BATAINDIA,0.74,1718.0,1690.55,1715.75,1708.1,1725.65,1735.55,1753.1,1698.2,1680.65,1670.75
BEL,2.28,131.7,128.0,130.15,129.95,131.9,133.65,135.6,128.2,126.25,124.5
BERGEPAINT,0.83,681.0,668.2,679.65,676.28,684.36,689.08,697.16,671.56,663.48,658.76
BHARATFORG,0.57,920.95,897.45,902.85,907.08,916.71,930.58,940.21,893.21,883.58,869.71
BHARTIARTL,-0.01,899.9,890.55,895.1,895.18,899.81,904.53,909.16,890.46,885.83,881.11
BHEL,-0.39,104.0,101.35,103.1,102.82,104.29,105.47,106.94,101.64,100.17,98.99
BIOCON,0.25,261.2,254.5,256.75,257.48,260.46,264.18,267.16,253.76,250.78,247.06
BOSCHLTD,0.35,19034.95,18841.3,18952.85,18943.03,19044.76,19136.68,19238.41,18851.11,18749.38,18657.46
BPCL,-1.53,379.8,372.1,373.45,375.12,378.14,382.82,385.84,370.44,367.42,362.74
BRITANNIA,0.61,4959.4,4851.0,4903.35,4904.58,4958.16,5012.98,5066.56,4849.76,4796.18,4741.36
