symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-0.8,464.0,459.25,461.1,461.45,463.65,466.2,468.4,458.9,456.7,454.15
ABB,0.26,4369.45,4271.15,4333.1,4324.57,4377.99,4422.87,4476.29,4279.69,4226.27,4181.39
ABBOTINDIA,-0.8,23251.05,22884.7,22986.4,23040.72,23196.74,23407.07,23563.09,22830.39,22674.37,22464.04
ABCAPITAL,-0.08,191.25,187.6,188.7,189.18,190.76,192.83,194.41,187.11,185.53,183.46
ABFRL,1.61,218.5,211.95,217.8,216.08,220.21,222.63,226.76,213.66,209.53,207.11
ACC,4.83,1895.0,1810.0,1891.75,1865.58,1921.16,1950.58,2006.16,1836.16,1780.58,1751.16
ADANIENT,2.0,2479.0,2416.0,2466.65,2453.88,2491.76,2516.88,2554.76,2428.76,2390.88,2365.76
ADANIPORTS,1.9,752.0,733.15,749.25,744.8,756.45,763.65,775.3,737.6,725.95,718.75
ALKEM,4.46,3987.3,3781.9,3950.65,3906.62,4031.34,4112.02,4236.74,3825.94,3701.22,3620.54
AMARAJABAT,0.46,632.0,621.95,627.9,627.28,632.61,637.33,642.66,622.56,617.23,612.51
AMBUJACEM,4.1,441.9,423.15,440.1,435.05,446.95,453.8,465.7,428.2,416.3,409.45
APOLLOHOSP,0.61,5220.0,5153.8,5212.2,5195.33,5236.86,5261.53,5303.06,5170.66,5129.13,5104.46
APOLLOTYRE,1.3,420.8,414.0,420.1,418.3,422.6,425.1,429.4,415.8,411.5,409.0
ASHOKLEY,0.19,185.4,180.85,182.8,183.02,185.19,187.57,189.74,180.64,178.47,176.09
ASIANPAINT,-4.04,3547.9,3350.0,3400.4,3432.77,3515.54,3630.67,3713.44,3317.64,3234.87,3119.74
ASTRAL,-0.2,1908.9,1849.6,1887.0,1881.83,1914.06,1941.13,1973.36,1854.76,1822.53,1795.46
ATUL,-2.09,6750.0,6531.05,6564.15,6615.07,6699.09,6834.02,6918.04,6480.14,6396.12,6261.19
AUBANK,-1.06,745.3,725.1,731.3,733.9,742.7,754.1,762.9,722.5,713.7,702.3
AUROPHARMA,0.31,791.0,775.65,787.75,784.8,793.95,800.15,809.3,778.6,769.45,763.25
AXISBANK,-0.93,977.65,953.8,962.5,964.65,975.5,988.5,999.35,951.65,940.8,927.8
BAJAJ-AUTO,-0.69,4909.9,4777.35,4848.95,4845.4,4913.45,4977.95,5046.0,4780.9,4712.85,4648.35
BAJAJFINSV,-0.52,1664.9,1635.05,1648.85,1649.6,1664.15,1679.45,1694.0,1634.3,1619.75,1604.45
BAJFINANCE,0.33,7649.4,7541.05,7606.45,7598.97,7656.89,7707.32,7765.24,7548.54,7490.62,7440.19
BALKRISIND,0.48,2393.65,2360.0,2385.3,2379.65,2399.3,2413.3,2432.95,2365.65,2346.0,2332.0
BALRAMCHIN,0.79,403.35,396.35,399.45,399.72,403.09,406.72,410.09,396.09,392.72,389.09
BANDHANBNK,-0.21,220.55,216.25,218.2,218.33,220.41,222.63,224.71,216.11,214.03,211.81
BANKBARODA,-1.11,200.4,195.6,196.15,197.38,199.16,202.18,203.96,194.36,192.58,189.56
BATAINDIA,0.93,1704.9,1661.0,1701.0,1688.97,1716.94,1732.87,1760.84,1673.04,1645.07,1629.14
BEL,0.83,127.2,125.35,127.05,126.53,127.71,128.38,129.56,125.86,124.68,124.01
BERGEPAINT,-1.5,692.25,666.75,675.55,678.18,689.61,703.68,715.11,664.11,652.68,638.61
BHARATFORG,1.8,869.0,854.0,867.55,863.52,873.04,878.52,888.04,858.04,848.52,843.04
BHARTIARTL,-0.51,894.7,879.1,883.65,885.82,892.54,901.42,908.14,876.94,870.22,861.34
BHEL,-0.31,99.6,97.2,97.75,98.18,99.16,100.58,101.56,96.76,95.78,94.36
BIOCON,-1.52,251.75,243.4,245.7,246.95,250.5,255.3,258.85,242.15,238.6,233.8
BOSCHLTD,-0.02,19200.0,18869.6,19019.75,19029.78,19189.96,19360.18,19520.36,18859.56,18699.38,18529.16
BPCL,-0.81,390.9,384.3,386.4,387.2,390.1,393.8,396.7,383.5,380.6,376.9
BRITANNIA,-1.68,5007.0,4875.0,4885.6,4922.53,4970.06,5054.53,5102.06,4838.06,4790.53,4706.06
BSOFT,-1.38,385.2,375.1,378.05,379.45,383.8,389.55,393.9,373.7,369.35,363.6
CANBK,-2.02,342.9,330.0,332.85,335.25,340.5,348.15,353.4,327.6,322.35,314.7
CANFINHOME,-4.35,909.8,832.8,851.2,864.6,896.4,941.6,973.4,819.4,787.6,742.4
CHAMBLFERT,0.06,272.3,268.5,269.9,270.23,271.96,274.03,275.76,268.16,266.43,264.36
CHOLAFIN,-1.57,1154.2,1120.0,1127.4,1133.87,1147.74,1168.07,1181.94,1113.54,1099.67,1079.34
