symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,2.02,478.0,468.15,476.95,474.37,480.59,484.22,490.44,470.74,464.52,460.89
ABB,-0.73,4589.3,4498.0,4519.65,4535.65,4573.3,4626.95,4664.6,4482.0,4444.35,4390.7
ABBOTINDIA,-0.52,24094.45,23770.0,23943.2,23935.88,24101.76,24260.33,24426.21,23777.31,23611.43,23452.86
ABCAPITAL,0.18,196.95,194.45,196.15,195.85,197.25,198.35,199.75,194.75,193.35,192.25
ABFRL,-0.69,224.8,219.15,221.6,221.85,224.55,227.5,230.2,218.9,216.2,213.25
ACC,-0.36,2029.0,1980.2,2010.6,2006.6,2033.0,2055.4,2081.8,1984.2,1957.8,1935.4
ADANIENT,-0.45,2514.0,2455.25,2481.1,2483.45,2511.65,2542.2,2570.4,2452.9,2424.7,2394.15
ADANIPORTS,-1.61,781.0,761.6,765.35,769.32,777.04,788.72,796.44,757.64,749.92,738.24
ALKEM,0.19,4009.75,3960.95,3986.5,3985.73,4010.51,4034.53,4059.31,3961.71,3936.93,3912.91
AMARAJABAT,1.04,643.7,632.8,641.45,639.32,645.84,650.22,656.74,634.94,628.42,624.04
AMBUJACEM,-0.31,468.35,452.65,461.55,460.85,469.05,476.55,484.75,453.35,445.15,437.65
APOLLOHOSP,-2.73,5210.0,5021.55,5032.4,5087.98,5154.41,5276.43,5342.86,4965.96,4899.53,4777.51
APOLLOTYRE,-1.28,438.0,423.55,427.25,429.6,435.65,444.05,450.1,421.2,415.15,406.75
ASHOKLEY,0.11,185.9,182.8,184.2,184.3,185.8,187.4,188.9,182.7,181.2,179.6
ASIANPAINT,-1.02,3385.0,3338.0,3342.95,3355.32,3372.64,3402.32,3419.64,3325.64,3308.32,3278.64
ASTRAL,1.59,2041.05,1981.1,2000.6,2007.58,2034.06,2067.53,2094.01,1974.11,1947.63,1914.16
ATUL,6.09,7232.95,6796.65,7210.3,7079.97,7363.29,7516.27,7799.59,6926.99,6643.67,6490.69
AUBANK,-1.12,733.55,719.1,721.65,724.77,730.44,739.22,744.89,715.99,710.32,701.54
AUROPHARMA,-0.46,832.0,816.55,818.5,822.35,828.15,837.8,843.6,812.7,806.9,797.25
AXISBANK,0.63,964.0,952.0,959.9,958.63,965.26,970.63,977.26,953.26,946.63,941.26
BAJAJ-AUTO,-0.15,4978.65,4899.15,4923.95,4933.92,4968.69,5013.42,5048.19,4889.19,4854.42,4809.69
BAJAJFINSV,-1.62,1599.95,1569.65,1572.35,1580.65,1591.65,1610.95,1621.95,1561.35,1550.35,1531.05
BAJFINANCE,-0.42,7330.0,7244.0,7269.7,7281.23,7318.46,7367.23,7404.46,7232.46,7195.23,7146.46
BALKRISIND,-0.74,2570.0,2515.0,2523.6,2536.2,2557.4,2591.2,2612.4,2502.4,2481.2,2447.4
BALRAMCHIN,1.18,409.6,401.25,407.75,406.2,411.15,414.55,419.5,402.8,397.85,394.45
BANDHANBNK,1.97,229.0,225.6,227.8,227.47,229.34,230.87,232.74,225.94,224.07,222.54
BANKBARODA,-0.54,202.9,199.85,201.1,201.28,202.71,204.33,205.76,199.66,198.23,196.61
BATAINDIA,1.47,1768.25,1734.0,1762.0,1754.75,1775.5,1789.0,1809.75,1741.25,1720.5,1707.0
BEL,-0.19,133.25,130.05,130.45,131.25,132.45,134.45,135.65,129.25,128.05,126.05
BERGEPAINT,2.93,704.0,677.55,702.4,694.65,711.75,721.1,738.2,685.3,668.2,658.85
BHARATFORG,0.23,938.3,922.5,933.55,931.45,940.4,947.25,956.2,924.6,915.65,908.8
BHARTIARTL,0.2,897.4,888.15,891.65,892.4,896.65,901.65,905.9,887.4,883.15,878.15
BHEL,0.62,107.1,104.3,104.7,105.37,106.44,108.17,109.24,103.64,102.57,100.84
BIOCON,-0.51,260.5,254.65,255.8,256.98,259.31,262.83,265.16,253.46,251.13,247.61
BOSCHLTD,0.13,19200.0,18926.0,18995.85,19040.62,19155.24,19314.62,19429.24,18881.24,18766.62,18607.24
BPCL,0.0,379.8,374.25,377.5,377.18,380.11,382.73,385.66,374.56,371.63,369.01
BRITANNIA,0.49,4843.5,4750.1,4817.35,4803.65,4857.2,4897.05,4950.6,4763.8,4710.25,4670.4
BSOFT,1.15,434.9,420.0,432.15,429.02,438.04,443.92,452.94,423.14,414.12,408.24
CANBK,-1.07,346.0,338.05,340.65,341.57,345.09,349.52,353.04,337.14,333.62,329.19
CANFINHOME,-1.77,753.8,733.5,738.1,741.8,750.1,762.1,770.4,729.8,721.5,709.5
CHAMBLFERT,0.96,281.0,276.4,279.75,279.05,281.7,283.65,286.3,277.1,274.45,272.5
CHOLAFIN,-0.15,1138.45,1125.0,1130.45,1131.3,1137.6,1144.75,1151.05,1124.15,1117.85,1110.7
CIPLA,0.29,1187.3,1168.1,1178.35,1177.92,1187.74,1197.12,1206.94,1168.54,1158.72,1149.34
COALINDIA,4.84,241.3,228.95,240.35,236.87,244.79,249.22,257.14,232.44,224.52,220.09
COFORGE,3.01,4851.0,4691.55,4845.45,4796.0,4900.45,4955.45,5059.9,4741.0,4636.55,4581.55
COLPAL,-0.65,2027.9,1995.7,2006.35,2009.98,2024.26,2042.18,2056.46,1992.06,1977.78,1959.86
CONCOR,-0.17,704.9,690.65,693.55,696.37,702.09,710.62,716.34,687.84,682.12,673.59
COROMANDEL,1.36,1049.9,1022.05,1043.4,1038.45,1054.85,1066.3,1082.7,1027.0,1010.6,999.15
CROMPTON,-0.6,297.0,290.65,292.15,293.27,295.89,299.62,302.24,289.54,286.92,283.19
CUB,1.09,135.9,133.55,134.65,134.7,135.85,137.05,138.2,133.5,132.35,131.15
CUMMINSIND,-2.08,1980.15,1923.25,1927.25,1943.55,1963.85,2000.45,2020.75,1906.95,1886.65,1850.05
DABUR,-1.19,578.3,567.5,568.75,571.52,575.54,582.32,586.34,564.74,560.72,553.94
DALBHARAT,1.69,1992.85,1935.0,1986.8,1971.55,2008.1,2029.4,2065.95,1950.25,1913.7,1892.4
DEEPAKNTR,1.74,2048.9,2007.45,2045.7,2034.02,2060.59,2075.47,2102.04,2019.14,1992.57,1977.69
DELTACORP,-1.02,201.6,195.1,198.25,198.32,201.54,204.82,208.04,195.04,191.82,188.54
DIVISLAB,-1.22,3720.6,3625.0,3639.5,3661.7,3698.4,3757.3,3794.0,3602.8,3566.1,3507.2
DIXON,0.33,4158.0,4065.0,4135.55,4119.52,4174.04,4212.52,4267.04,4081.04,4026.52,3988.04
DLF,-3.67,511.5,496.9,499.7,502.7,508.5,517.3,523.1,493.9,488.1,479.3
DRREDDY,0.47,5709.35,5607.1,5667.05,5661.17,5715.24,5763.42,5817.49,5612.99,5558.92,5510.74
EICHERMOT,1.5,3435.0,3367.05,3415.9,3405.98,3444.91,3473.93,3512.86,3376.96,3338.03,3309.01
ESCORTS,0.95,2609.95,2470.25,2563.55,2547.92,2625.59,2687.62,2765.29,2485.89,2408.22,2346.19
EXIDEIND,5.41,266.7,250.0,263.1,259.93,269.86,276.63,286.56,253.16,243.23,236.46
FEDERALBNK,-0.41,136.4,134.5,135.1,135.33,136.16,137.23,138.06,134.26,133.43,132.36
FSL,1.59,147.5,142.45,146.8,145.58,148.71,150.63,153.76,143.66,140.53,138.61
GAIL,1.05,122.35,117.2,120.35,119.97,122.74,125.12,127.89,117.59,114.82,112.44
GLENMARK,0.04,798.6,782.0,788.2,789.6,797.2,806.2,813.8,780.6,773.0,764.0
GNFC,2.58,614.35,593.35,608.2,605.3,617.25,626.3,638.25,596.25,584.3,575.25
GODREJCP,-1.5,1040.0,1016.6,1020.45,1025.68,1034.76,1049.08,1058.16,1011.36,1002.28,987.96
GODREJPROP,-2.79,1753.35,1686.45,1692.0,1710.6,1734.75,1777.5,1801.65,1667.85,1643.7,1600.95
GRANULES,0.9,329.3,322.25,326.2,325.92,329.59,332.97,336.64,322.54,318.87,315.49
GRASIM,-0.64,1855.0,1824.65,1837.7,1839.12,1853.59,1869.47,1883.94,1823.24,1808.77,1792.89
GUJGASLTD,0.13,493.5,481.55,483.35,486.13,490.71,498.08,502.66,478.76,474.18,466.81
HAL,-2.41,3974.35,3855.05,3865.9,3898.43,3941.81,4017.73,4061.11,3822.51,3779.13,3703.21
HAVELLS,-0.98,1338.05,1318.2,1321.0,1325.75,1333.3,1345.6,1353.15,1313.45,1305.9,1293.6
HCLTECH,1.95,1142.0,1111.9,1138.5,1130.8,1149.7,1160.9,1179.8,1119.6,1100.7,1089.5
HDFCAMC,0.88,2559.9,2522.65,2556.3,2546.28,2569.91,2583.53,2607.16,2532.66,2509.03,2495.41
HDFCBANK,0.67,1667.45,1650.0,1662.25,1659.9,1669.8,1677.35,1687.25,1652.35,1642.45,1634.9
HDFCLIFE,-0.63,646.8,638.0,642.75,642.52,647.04,651.32,655.84,638.24,633.72,629.44
HINDALCO,0.32,471.55,462.1,464.1,465.92,469.74,475.37,479.19,460.29,456.47,450.84
HINDCOPPER,6.59,152.7,142.35,150.4,148.48,154.61,158.83,164.96,144.26,138.13,133.91
HINDPETRO,0.94,286.95,280.1,285.05,284.03,287.96,290.88,294.81,281.11,277.18,274.26
HINDUNILVR,-0.38,2573.8,2545.0,2551.1,2556.63,2568.26,2585.43,2597.06,2539.46,2527.83,2510.66
HONAUT,0.56,43499.0,42872.6,43234.45,43202.02,43531.44,43828.42,44157.84,42905.04,42575.62,42278.64
IBULHSGFIN,-1.6,145.2,139.1,141.45,141.92,144.74,148.02,150.84,138.64,135.82,132.54
ICICIBANK,-0.38,1003.7,990.45,994.55,996.23,1002.01,1009.48,1015.26,988.76,982.98,975.51
ICICIGI,-1.65,1392.0,1352.2,1362.65,1368.95,1385.7,1408.75,1425.5,1345.9,1329.15,1306.1
ICICIPRULI,-0.83,583.95,571.0,574.7,576.55,582.1,589.5,595.05,569.15,563.6,556.2
IDFC,1.22,121.2,118.8,120.2,120.07,121.34,122.47,123.74,118.94,117.67,116.54
IDFCFIRSTB,1.49,89.45,87.5,88.5,88.48,89.46,90.43,91.41,87.51,86.53,85.56
IEX,3.87,129.15,122.8,127.4,126.45,130.1,132.8,136.45,123.75,120.1,117.4
IGL,-0.63,465.6,459.2,460.2,461.67,464.14,468.07,470.54,457.74,455.27,451.34
INDHOTEL,0.34,401.9,394.35,396.45,397.57,400.79,405.12,408.34,393.24,390.02,385.69
INDIACEM,-0.3,222.5,217.0,218.8,219.43,221.86,224.93,227.36,216.36,213.93,210.86
INDIAMART,0.54,3157.0,3101.5,3129.15,3129.22,3156.94,3184.72,3212.44,3101.44,3073.72,3045.94
INDIGO,-0.85,2610.0,2528.1,2570.75,2569.62,2611.14,2651.52,2693.04,2529.24,2487.72,2447.34
INDUSINDBK,-1.63,1423.2,1389.35,1394.6,1402.38,1415.41,1436.23,1449.26,1381.56,1368.53,1347.71
INDUSTOWER,0.99,175.75,171.2,173.7,173.55,175.9,178.1,180.45,171.35,169.0,166.8
INFY,0.7,1369.0,1357.0,1365.2,1363.73,1370.46,1375.73,1382.46,1358.46,1351.73,1346.46
INTELLECT,-1.06,688.95,665.0,667.5,673.82,682.64,697.77,706.59,658.69,649.87,634.74
IOC,0.27,94.75,93.3,94.0,94.02,94.74,95.47,96.19,93.29,92.57,91.84
IPCALAB,3.31,906.25,873.5,902.4,894.05,914.6,926.8,947.35,881.85,861.3,849.1
IRCTC,0.33,648.9,635.65,642.75,642.43,649.21,655.68,662.46,635.96,629.18,622.71
ITC,-0.19,468.85,463.8,464.8,465.82,467.84,470.87,472.89,462.79,460.77,457.74
JINDALSTEL,0.4,675.55,668.0,671.45,671.67,675.34,679.22,682.89,667.79,664.12,660.24
JKCEMENT,-0.53,3281.0,3208.35,3257.35,3248.9,3289.45,3321.55,3362.1,3216.8,3176.25,3144.15
JSWSTEEL,0.51,825.0,816.95,820.9,820.95,824.95,829.0,833.0,816.9,812.9,808.85
JUBLFOOD,2.49,492.7,476.65,490.4,486.58,496.51,502.63,512.56,480.46,470.53,464.41
KOTAKBANK,-0.35,1865.75,1844.4,1850.0,1853.38,1862.36,1874.73,1883.71,1841.01,1832.03,1819.66
LALPATHLAB,0.96,2368.0,2327.4,2348.7,2348.03,2368.66,2388.63,2409.26,2328.06,2307.43,2287.46
LAURUSLABS,1.79,359.0,352.0,358.3,356.43,360.86,363.43,367.86,353.86,349.43,346.86
LICHSGFIN,0.14,423.35,415.5,418.0,418.95,422.4,426.8,430.25,414.55,411.1,406.7
LT,-0.55,2689.0,2655.35,2666.65,2670.33,2685.31,2703.98,2718.96,2651.66,2636.68,2618.01
LTIM,1.75,4998.7,4900.0,4977.45,4958.72,5017.44,5057.42,5116.14,4918.74,4860.02,4820.04
LTTS,3.18,4198.0,4037.95,4164.5,4133.48,4229.01,4293.53,4389.06,4068.96,3973.43,3908.91
LUPIN,0.28,994.9,976.7,988.2,986.6,996.5,1004.8,1014.7,978.3,968.4,960.1
MANAPPURAM,-2.34,139.75,135.45,135.85,137.02,138.59,141.32,142.89,134.29,132.72,129.99
MARICO,-0.51,566.95,555.7,557.7,560.12,564.54,571.37,575.79,553.29,548.87,542.04
MARUTI,-1.06,9892.0,9650.05,9716.75,9752.93,9855.81,9994.88,10097.76,9613.86,9510.98,9371.91
MCDOWELL-N,0.19,1030.0,1013.2,1017.75,1020.32,1027.44,1037.12,1044.24,1010.64,1003.52,993.84
MCX,-1.57,1683.15,1630.5,1635.05,1649.57,1668.64,1702.22,1721.29,1615.99,1596.92,1563.34
METROPOLIS,0.73,1396.0,1369.2,1381.55,1382.25,1395.3,1409.05,1422.1,1368.5,1355.45,1341.7
MFSL,-0.55,820.0,804.05,810.25,811.43,818.81,827.38,834.76,802.86,795.48,786.91
MGL,0.24,1130.35,1104.1,1120.95,1118.47,1132.84,1144.72,1159.09,1106.59,1092.22,1080.34
MOTHERSON,0.61,99.5,98.05,98.9,98.82,99.59,100.27,101.04,98.14,97.37,96.69
MPHASIS,-0.02,2321.0,2275.5,2294.6,2297.03,2318.56,2342.53,2364.06,2273.06,2251.53,2227.56
MRF,0.32,103570.95,102507.15,103285.75,103121.28,103735.41,104185.08,104799.21,102671.61,102057.48,101607.81
MUTHOOTFIN,-0.24,1362.75,1331.0,1347.1,1346.95,1362.9,1378.7,1394.65,1331.15,1315.2,1299.4
NATIONALUM,0.37,97.6,94.95,95.6,96.05,97.15,98.7,99.8,94.5,93.4,91.85
NAUKRI,1.5,4661.2,4580.0,4655.75,4632.32,4684.64,4713.52,4765.84,4603.44,4551.12,4522.24
NAVINFLUOR,6.79,4615.0,4225.0,4554.35,4464.78,4704.56,4854.78,5094.56,4314.56,4074.78,3924.56
NESTLEIND,0.18,22690.0,22425.0,22593.7,22569.57,22714.14,22834.57,22979.14,22449.14,22304.57,22184.14
NMDC,-0.34,118.7,116.5,116.85,117.35,118.2,119.55,120.4,116.0,115.15,113.8
NTPC,3.11,226.65,218.85,225.15,223.55,228.25,231.35,236.05,220.45,215.75,212.65
OBEROIRLTY,-1.01,1113.85,1066.0,1108.25,1096.03,1126.06,1143.88,1173.91,1078.21,1048.18,1030.36
OFSS,-0.41,3905.95,3854.05,3870.0,3876.67,3899.29,3928.57,3951.19,3847.39,3824.77,3795.49
ONGC,-0.2,177.0,174.3,176.7,176.0,177.7,178.7,180.4,175.0,173.3,172.3
PAGEIND,2.37,38835.45,37866.3,38701.55,38467.77,39069.24,39436.92,40038.39,38100.09,37498.62,37130.94
PEL,-0.84,1024.0,998.0,1003.25,1008.42,1018.84,1034.42,1044.84,992.84,982.42,966.84
PERSISTENT,1.38,4835.5,4713.8,4809.55,4786.28,4858.76,4907.98,4980.46,4737.06,4664.58,4615.36
PETRONET,0.0,237.0,232.05,233.55,234.2,236.35,239.15,241.3,231.4,229.25,226.45
PFC,-0.98,263.15,256.55,258.85,259.52,262.49,266.12,269.09,255.89,252.92,249.29
PIDILITIND,0.76,2640.8,2602.05,2634.8,2625.88,2649.71,2664.63,2688.46,2610.96,2587.13,2572.21
PIIND,1.23,3685.0,3573.05,3660.1,3639.38,3705.71,3751.33,3817.66,3593.76,3527.43,3481.81
PNB,-0.81,62.2,61.05,61.35,61.53,62.01,62.68,63.16,60.86,60.38,59.71
POLYCAB,-3.87,4873.95,4616.3,4630.2,4706.82,4797.34,4964.47,5054.99,4539.69,4449.17,4282.04
POWERGRID,-5.36,262.0,250.5,251.8,254.77,259.04,266.27,270.54,247.54,243.27,236.04
PVRINOX,0.54,1594.45,1542.35,1565.45,1567.42,1592.49,1619.52,1644.59,1540.39,1515.32,1488.29
RAIN,-0.23,173.55,169.4,170.0,170.98,172.56,175.13,176.71,168.41,166.83,164.26
RAMCOCEM,-0.34,894.9,879.55,883.2,885.88,892.21,901.23,907.56,876.86,870.53,861.51
RBLBANK,-1.43,230.75,223.8,224.6,226.38,228.96,233.33,235.91,222.01,219.43,215.06
RECLTD,-1.45,204.55,198.0,200.0,200.85,203.7,207.4,210.25,197.15,194.3,190.6
RELIANCE,-1.41,2559.0,2505.3,2513.2,2525.83,2546.36,2579.53,2600.06,2492.66,2472.13,2438.96
SAIL,1.06,96.15,94.8,95.6,95.52,96.24,96.87,97.59,94.89,94.17,93.54
SBICARD,3.04,883.5,849.0,881.35,871.28,893.56,905.78,928.06,859.06,836.78,824.56
SBILIFE,-0.17,1285.0,1261.1,1279.95,1275.35,1289.6,1299.25,1313.5,1265.7,1251.45,1241.8
SBIN,-1.35,620.85,610.6,611.85,614.43,618.26,624.68,628.51,608.01,604.18,597.76
SHREECEM,-0.03,24200.0,23980.85,24102.05,24094.3,24207.75,24313.45,24426.9,23988.6,23875.15,23769.45
SHRIRAMFIN,-2.08,1901.0,1845.0,1853.7,1866.57,1888.14,1922.57,1944.14,1832.14,1810.57,1776.14
SIEMENS,-2.31,4005.0,3878.0,3890.95,3924.65,3971.3,4051.65,4098.3,3844.3,3797.65,3717.3
SRF,3.71,2258.85,2168.0,2251.1,2225.98,2283.96,2316.83,2374.81,2193.11,2135.13,2102.26
SUNPHARMA,0.0,1152.65,1136.0,1143.45,1144.03,1152.06,1160.68,1168.71,1135.41,1127.38,1118.76
SUNTV,-1.48,544.0,530.25,533.6,535.95,541.65,549.7,555.4,527.9,522.2,514.15
SYNGENE,1.26,815.15,792.05,806.15,804.45,816.85,827.55,839.95,793.75,781.35,770.65
TATACHEM,1.28,1083.6,1059.5,1072.9,1072.0,1084.5,1096.1,1108.6,1060.4,1047.9,1036.3
TATACOMM,-1.86,1821.5,1745.1,1762.75,1776.45,1807.8,1852.85,1884.2,1731.4,1700.05,1655.0
TATACONSUM,-0.3,863.3,853.1,856.75,857.72,862.34,867.92,872.54,852.14,847.52,841.94
TATAMOTORS,-0.1,652.9,642.0,643.65,646.18,650.36,657.08,661.26,639.46,635.28,628.56
TATAPOWER,3.25,245.4,236.25,244.4,242.02,247.79,251.17,256.94,238.64,232.87,229.49
TATASTEEL,0.04,124.15,122.55,123.2,123.3,124.05,124.9,125.65,122.45,121.7,120.85
TCS,0.89,3460.0,3415.0,3452.05,3442.35,3469.7,3487.35,3514.7,3424.7,3397.35,3379.7
TECHM,2.51,1154.5,1119.9,1143.5,1139.3,1158.7,1173.9,1193.3,1124.1,1104.7,1089.5
TITAN,-0.07,3027.5,2987.7,3001.9,3005.7,3023.7,3045.5,3063.5,2983.9,2965.9,2944.1
TORNTPHARM,-0.97,2021.9,1974.4,1983.5,1993.27,2012.14,2040.77,2059.64,1964.64,1945.77,1917.14
TORNTPOWER,0.16,679.9,668.2,677.8,675.3,682.4,687.0,694.1,670.7,663.6,659.0
TRENT,-2.82,1762.05,1701.9,1707.6,1723.85,1745.8,1784.0,1805.95,1685.65,1663.7,1625.5
TVSMOTOR,-0.51,1379.3,1359.05,1369.7,1369.35,1379.65,1389.6,1399.9,1359.4,1349.1,1339.15
UBL,3.32,1604.85,1542.05,1591.35,1579.42,1616.79,1642.22,1679.59,1553.99,1516.62,1491.19
ULTRACEMCO,-0.44,8368.0,8270.6,8281.8,8306.8,8343.0,8404.2,8440.4,8245.6,8209.4,8148.2
UPL,0.16,628.3,611.0,625.7,621.67,632.34,638.97,649.64,615.04,604.37,597.74
VEDL,0.33,279.0,275.6,276.9,277.17,278.74,280.57,282.14,275.34,273.77,271.94
VOLTAS,2.22,800.5,780.25,797.4,792.72,805.19,812.97,825.44,784.94,772.47,764.69
WHIRLPOOL,-0.03,1466.5,1450.0,1458.8,1458.43,1466.86,1474.93,1483.36,1450.36,1441.93,1433.86
WIPRO,0.47,408.0,404.05,406.95,406.33,408.61,410.28,412.56,404.66,402.38,400.71
ZEEL,-2.19,245.95,235.25,237.05,239.42,243.59,250.12,254.29,232.89,228.72,222.19
ZYDUSLIFE,0.26,641.9,629.3,633.9,635.03,640.76,647.63,653.36,628.16,622.43,615.56
FORTIS,-0.01,349.95,341.55,345.8,345.77,349.99,354.17,358.39,341.59,337.37,333.19
GLAND,-0.3,1324.0,1287.0,1303.6,1304.87,1322.74,1341.87,1359.74,1285.74,1267.87,1248.74
HINDZINC,0.09,324.35,320.4,322.25,322.33,324.26,326.28,328.21,320.31,318.38,316.36
IDFCFIRSTB,1.49,89.45,87.5,88.5,88.48,89.46,90.43,91.41,87.51,86.53,85.56
INDIANB,0.14,349.75,344.75,347.4,347.3,349.85,352.3,354.85,344.85,342.3,339.85
IRFC,6.02,41.7,38.8,40.5,40.33,41.86,43.23,44.76,38.96,37.43,36.06
PRESTIGE,-1.31,592.9,574.2,580.9,582.67,591.14,601.37,609.84,572.44,563.97,553.74
UNIONBANK,0.84,90.2,88.75,89.75,89.57,90.39,91.02,91.84,88.94,88.12,87.49
VBL,-0.46,814.85,798.95,800.7,804.83,810.71,820.73,826.61,794.81,788.93,778.91
SONACOMS,-0.53,575.0,565.1,567.05,569.05,573.0,578.95,582.9,563.1,559.15,553.2
