symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-0.21,476.95,471.75,472.7,473.8,475.85,479.0,481.05,470.65,468.6,465.45
ABB,1.49,4449.0,4311.0,4438.05,4399.35,4487.7,4537.35,4625.7,4349.7,4261.35,4211.7
ABBOTINDIA,-2.82,24657.45,23800.0,23864.0,24107.15,24414.3,24964.6,25271.75,23556.85,23249.7,22699.4
ABCAPITAL,-2.38,194.9,186.5,188.5,189.97,193.44,198.37,201.84,185.04,181.57,176.64
ABFRL,-5.05,224.9,204.0,209.8,212.9,221.8,233.8,242.7,200.9,192.0,180.0
ALKEM,1.88,4110.0,4004.2,4099.0,4071.07,4137.94,4176.87,4243.74,4032.14,3965.27,3926.34
AMARAJABAT,0.22,631.75,623.4,626.15,627.1,630.8,635.45,639.15,622.45,618.75,614.1
APOLLOHOSP,-0.32,5036.45,4964.0,4980.3,4993.58,5023.16,5066.03,5095.61,4950.71,4921.13,4878.26
APOLLOTYRE,1.33,440.9,428.1,437.3,435.43,442.76,448.23,455.56,429.96,422.63,417.16
ASHOKLEY,0.83,184.2,180.55,182.5,182.42,184.29,186.07,187.94,180.64,178.77,176.99
ASIANPAINT,0.1,3373.3,3323.0,3339.65,3345.32,3367.64,3395.62,3417.94,3317.34,3295.02,3267.04
ASTRAL,1.45,2058.0,2003.0,2025.65,2028.88,2054.76,2083.88,2109.76,1999.76,1973.88,1944.76
ATUL,0.9,7118.1,7000.0,7078.05,7065.38,7130.76,7183.48,7248.86,7012.66,6947.28,6894.56
AUBANK,1.46,743.05,729.4,738.9,737.12,744.84,750.77,758.49,731.19,723.47,717.54
AUROPHARMA,0.14,855.4,832.0,841.55,842.98,853.96,866.38,877.36,830.56,819.58,807.16
AXISBANK,1.79,954.85,934.65,952.25,947.25,959.85,967.45,980.05,939.65,927.05,919.45
BAJAJ-AUTO,-2.37,4864.2,4700.0,4712.0,4758.73,4817.46,4922.93,4981.66,4653.26,4594.53,4489.06
BAJAJFINSV,-0.49,1507.35,1470.75,1486.3,1488.13,1505.51,1524.73,1542.11,1468.91,1451.53,1432.31
BAJFINANCE,0.57,7205.0,7071.3,7148.7,7141.67,7212.04,7275.37,7345.74,7078.34,7007.97,6944.64
BALKRISIND,0.16,2510.95,2471.0,2482.55,2488.17,2505.34,2528.12,2545.29,2465.39,2448.22,2425.44
BALRAMCHIN,0.7,415.0,406.65,412.7,411.45,416.25,419.8,424.6,407.9,403.1,399.55
BANDHANBNK,0.64,230.0,225.9,228.1,228.0,230.1,232.1,234.2,226.0,223.9,221.9
BANKBARODA,-1.01,196.15,189.6,191.35,192.37,195.14,198.92,201.69,188.59,185.82,182.04
BATAINDIA,0.61,1763.7,1736.15,1759.15,1753.0,1769.85,1780.55,1797.4,1742.3,1725.45,1714.75
BEL,2.37,128.05,125.5,127.6,127.05,128.6,129.6,131.15,126.05,124.5,123.5
BERGEPAINT,0.88,709.0,695.0,704.65,702.88,710.76,716.88,724.76,696.76,688.88,682.76
BHARATFORG,0.46,919.1,904.2,912.55,911.95,919.7,926.85,934.6,904.8,897.05,889.9
BHARTIARTL,2.06,892.95,866.2,889.65,882.93,899.66,909.68,926.41,872.91,856.18,846.16
BHEL,-1.79,103.15,98.6,98.95,100.23,101.86,104.78,106.41,97.31,95.68,92.76
BIOCON,-0.39,258.2,253.05,253.55,254.93,256.81,260.08,261.96,251.66,249.78,246.51
