symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0.67,467.45,461.5,464.2,464.38,467.26,470.33,473.21,461.31,458.43,455.36
ABB,1.51,4420.45,4331.45,4398.5,4383.47,4435.49,4472.47,4524.49,4346.49,4294.47,4257.49
ABBOTINDIA,-0.18,23039.75,22870.0,22945.45,22951.73,23033.46,23121.48,23203.21,22863.71,22781.98,22693.96
ABCAPITAL,1.51,193.2,188.1,191.55,190.95,193.8,196.05,198.9,188.7,185.85,183.6
ABFRL,-0.8,218.4,214.65,216.05,216.37,218.09,220.12,221.84,214.34,212.62,210.59
ACC,1.63,1926.5,1873.85,1922.5,1907.62,1941.39,1960.27,1994.04,1888.74,1854.97,1836.09
ADANIENT,0.17,2506.0,2446.0,2470.75,2474.25,2502.5,2534.25,2562.5,2442.5,2414.25,2382.5
ADANIPORTS,0.45,765.4,745.0,752.65,754.35,763.7,774.75,784.1,743.3,733.95,722.9
ALKEM,1.37,4030.0,3914.7,4004.9,3983.2,4051.7,4098.5,4167.0,3936.4,3867.9,3821.1
AMARAJABAT,0.8,633.8,626.8,632.9,631.17,635.54,638.17,642.54,628.54,624.17,621.54
AMBUJACEM,0.77,448.35,436.7,443.5,442.85,449.0,454.5,460.65,437.35,431.2,425.7
APOLLOHOSP,-1.08,5255.0,5143.05,5155.75,5184.6,5226.15,5296.55,5338.1,5114.2,5072.65,5002.25
APOLLOTYRE,1.31,430.5,422.05,425.6,426.05,430.05,434.5,438.5,421.6,417.6,413.15
ASHOKLEY,-0.93,183.7,180.55,181.1,181.78,183.01,184.93,186.16,179.86,178.63,176.71
ASIANPAINT,-0.81,3413.0,3365.0,3373.0,3383.67,3402.34,3431.67,3450.34,3354.34,3335.67,3306.34
ASTRAL,0.35,1921.0,1878.25,1893.55,1897.6,1916.95,1940.35,1959.7,1874.2,1854.85,1831.45
ATUL,-0.13,6633.0,6527.1,6555.5,6571.87,6616.64,6677.77,6722.54,6510.74,6465.97,6404.84
AUBANK,0.1,738.9,730.4,732.0,733.77,737.14,742.27,745.64,728.64,725.27,720.14
AUROPHARMA,0.22,796.5,784.55,789.45,790.17,795.79,802.12,807.74,783.84,778.22,771.89
AXISBANK,1.49,980.0,963.3,976.8,973.37,983.44,990.07,1000.14,966.74,956.67,950.04
BAJAJ-AUTO,0.44,4903.5,4840.95,4870.45,4871.63,4902.31,4934.18,4964.86,4839.76,4809.08,4777.21
BAJAJFINSV,-1.36,1664.9,1618.05,1626.45,1636.47,1654.89,1683.32,1701.74,1608.04,1589.62,1561.19
BAJFINANCE,-2.28,7734.0,7331.0,7433.15,7499.38,7667.76,7902.38,8070.76,7264.76,7096.38,6861.76
BALKRISIND,4.91,2516.65,2395.3,2502.35,2471.43,2547.56,2592.78,2668.91,2426.21,2350.08,2304.86
BALRAMCHIN,1.13,405.35,395.8,403.95,401.7,407.6,411.25,417.15,398.05,392.15,388.5
BANDHANBNK,1.15,224.0,216.8,220.7,220.5,224.2,227.7,231.4,217.0,213.3,209.8
BANKBARODA,0.82,198.5,195.65,197.75,197.3,198.95,200.15,201.8,196.1,194.45,193.25
BATAINDIA,0.36,1718.2,1689.15,1707.15,1704.83,1720.51,1733.88,1749.56,1691.46,1675.78,1662.41
BEL,-0.83,127.35,125.65,126.0,126.33,127.01,128.03,128.71,125.31,124.63,123.61
BERGEPAINT,-0.3,678.65,671.2,673.5,674.45,677.7,681.9,685.15,670.25,667.0,662.8
BHARATFORG,1.03,879.95,867.1,876.45,874.5,881.9,887.35,894.75,869.05,861.65,856.2
BHARTIARTL,0.65,896.5,883.3,889.4,889.73,896.16,902.93,909.36,882.96,876.53,869.76
BHEL,3.53,101.85,97.8,101.2,100.28,102.76,104.33,106.81,98.71,96.23,94.66
BIOCON,1.53,250.2,245.0,249.45,248.22,251.44,253.42,256.64,246.24,243.02,241.04
BOSCHLTD,0.64,19260.0,18998.8,19142.2,19133.67,19268.54,19394.87,19529.74,19007.34,18872.47,18746.14
BPCL,0.21,395.0,383.75,387.2,388.65,393.55,399.9,404.8,382.3,377.4,371.05
BRITANNIA,2.01,4994.95,4880.0,4983.6,4952.85,5025.7,5067.8,5140.65,4910.75,4837.9,4795.8
BSOFT,0.33,383.95,378.0,379.3,380.42,382.84,386.37,388.79,376.89,374.47,370.94
CANBK,1.34,338.3,333.55,337.3,336.38,339.21,341.13,343.96,334.46,331.63,329.71
CANFINHOME,-9.4,817.75,767.4,771.2,785.45,803.5,835.8,853.85,753.15,735.1,702.8
CHAMBLFERT,2.15,278.5,269.3,275.7,274.5,279.7,283.7,288.9,270.5,265.3,261.3
CHOLAFIN,1.26,1152.8,1130.0,1141.55,1141.45,1152.9,1164.25,1175.7,1130.1,1118.65,1107.3
CIPLA,1.3,1082.05,1042.15,1068.5,1064.23,1086.31,1104.13,1126.21,1046.41,1024.33,1006.51
COALINDIA,0.24,231.2,228.9,230.5,230.2,231.5,232.5,233.8,229.2,227.9,226.9
COFORGE,0.61,4770.0,4690.05,4716.15,4725.4,4760.75,4805.35,4840.7,4680.8,4645.45,4600.85
COLPAL,-0.81,1909.0,1874.2,1883.6,1888.93,1903.66,1923.73,1938.46,1868.86,1854.13,1834.06
CONCOR,-0.09,687.0,677.1,678.95,681.02,684.94,690.92,694.84,675.04,671.12,665.14
COROMANDEL,2.64,999.9,967.0,992.8,986.57,1006.14,1019.47,1039.04,973.24,953.67,940.34
CROMPTON,1.46,292.5,286.8,291.45,290.25,293.7,295.95,299.4,288.0,284.55,282.3
CUB,1.66,132.95,129.85,131.85,131.55,133.25,134.65,136.35,130.15,128.45,127.05
CUMMINSIND,-0.32,1934.65,1902.05,1916.65,1917.78,1933.51,1950.38,1966.11,1900.91,1885.18,1868.31
DABUR,1.17,576.05,568.2,575.0,573.08,577.96,580.93,585.81,570.11,565.23,562.26
DALBHARAT,2.48,1960.15,1907.7,1955.75,1941.2,1974.7,1993.65,2027.15,1922.25,1888.75,1869.8
DEEPAKNTR,-0.1,2019.85,1997.5,2005.85,2007.73,2017.96,2030.08,2040.31,1995.61,1985.38,1973.26
DELTACORP,3.38,197.4,189.9,195.6,194.3,198.7,201.8,206.2,191.2,186.8,183.7
DIVISLAB,-1.05,3743.0,3673.55,3680.45,3699.0,3724.45,3768.45,3793.9,3655.0,3629.55,3585.55
DIXON,-0.62,4185.7,4070.05,4087.2,4114.32,4158.59,4229.97,4274.24,4042.94,3998.67,3927.29
DLF,1.59,489.5,479.6,487.65,485.58,491.56,495.48,501.46,481.66,475.68,471.76
DRREDDY,0.93,5490.0,5401.05,5475.65,5455.57,5510.09,5544.52,5599.04,5421.14,5366.62,5332.19
EICHERMOT,0.83,3360.0,3326.4,3353.65,3346.68,3366.96,3380.28,3400.56,3333.36,3313.08,3299.76
ESCORTS,2.72,2444.25,2352.05,2430.35,2408.88,2465.71,2501.08,2557.91,2373.51,2316.68,2281.31
EXIDEIND,0.72,252.55,250.25,252.1,251.63,253.01,253.93,255.31,250.71,249.33,248.41
FEDERALBNK,0.98,135.0,132.7,133.9,133.87,135.04,136.17,137.34,132.74,131.57,130.44
FSL,-0.54,140.85,136.8,137.3,138.32,139.84,142.37,143.89,135.79,134.27,131.74
GAIL,-0.3,118.05,115.8,116.05,116.63,117.46,118.88,119.71,115.21,114.38,112.96
GLENMARK,2.84,808.5,784.05,806.3,799.62,815.19,824.07,839.64,790.74,775.17,766.29
GNFC,1.82,602.0,590.2,598.8,597.0,603.8,608.8,615.6,592.0,585.2,580.2
GODREJCP,0.36,1043.9,1033.6,1038.55,1038.68,1043.76,1048.98,1054.06,1033.46,1028.38,1023.16
GODREJPROP,1.17,1680.0,1638.3,1671.3,1663.2,1688.1,1704.9,1729.8,1646.4,1621.5,1604.7
GRANULES,-0.28,312.4,306.7,308.1,309.07,311.44,314.77,317.14,305.74,303.37,300.04
GRASIM,0.55,1849.0,1829.1,1839.1,1839.07,1849.04,1858.97,1868.94,1829.14,1819.17,1809.24
GUJGASLTD,0.71,475.15,468.5,472.4,472.02,475.54,478.67,482.19,468.89,465.37,462.24
HAL,0.58,3870.0,3828.65,3858.6,3852.42,3876.19,3893.77,3917.54,3834.84,3811.07,3793.49
HAVELLS,-0.28,1309.35,1296.0,1300.4,1301.92,1307.84,1315.27,1321.19,1294.49,1288.57,1281.14
HCLTECH,0.31,1120.85,1110.1,1115.0,1115.32,1120.54,1126.07,1131.29,1109.79,1104.57,1099.04
HDFCAMC,-1.61,2527.0,2450.0,2486.25,2487.75,2525.5,2564.75,2602.5,2448.5,2410.75,2371.5
HDFCBANK,-0.35,1699.6,1688.0,1690.7,1692.77,1697.54,1704.37,1709.14,1685.94,1681.17,1674.34
HDFCLIFE,1.04,660.0,648.0,658.6,655.53,663.06,667.53,675.06,651.06,643.53,639.06
HINDALCO,-0.11,451.65,446.4,449.0,449.02,451.64,454.27,456.89,446.39,443.77,441.14
HINDCOPPER,1.28,126.85,124.05,126.15,125.68,127.31,128.48,130.11,124.51,122.88,121.71
HINDPETRO,0.47,309.9,299.2,301.7,303.6,308.0,314.3,318.7,297.3,292.9,286.6
HINDUNILVR,0.59,2598.8,2572.3,2583.3,2584.8,2597.3,2611.3,2623.8,2570.8,2558.3,2544.3
HONAUT,-0.71,42992.95,42151.25,42295.65,42479.95,42808.65,43321.65,43650.35,41966.95,41638.25,41125.25
IBULHSGFIN,4.49,126.1,120.35,125.7,124.05,127.75,129.8,133.5,122.0,118.3,116.25
ICICIBANK,0.18,997.75,990.0,996.45,994.73,999.46,1002.48,1007.21,991.71,986.98,983.96
ICICIGI,-0.28,1383.75,1362.05,1369.3,1371.7,1381.35,1393.4,1403.05,1359.65,1350.0,1337.95
ICICIPRULI,-0.06,579.8,566.2,576.65,574.22,582.24,587.82,595.84,568.64,560.62,555.04
IDFC,1.97,116.5,114.0,116.2,115.57,117.14,118.07,119.64,114.64,113.07,112.14
IDFCFIRSTB,1.93,84.8,83.1,84.65,84.18,85.26,85.88,86.96,83.56,82.48,81.86
IEX,0.81,125.2,123.5,124.4,124.37,125.24,126.07,126.94,123.54,122.67,121.84
IGL,-0.84,476.05,468.9,469.65,471.53,474.16,478.68,481.31,467.01,464.38,459.86
INDHOTEL,-0.5,395.8,389.1,390.2,391.7,394.3,398.4,401.0,387.6,385.0,380.9
INDIACEM,-0.31,213.9,210.95,211.6,212.15,213.35,215.1,216.3,210.4,209.2,207.45
INDIAMART,0.17,2972.7,2925.2,2942.75,2946.88,2968.56,2994.38,3016.06,2921.06,2899.38,2873.56
INDIGO,-1.72,2606.1,2531.35,2539.85,2559.1,2586.85,2633.85,2661.6,2512.1,2484.35,2437.35
INDUSINDBK,0.87,1429.9,1411.2,1427.7,1422.93,1434.66,1441.63,1453.36,1415.96,1404.23,1397.26
INDUSTOWER,5.18,183.0,172.1,180.7,178.6,185.1,189.5,196.0,174.2,167.7,163.3
INFY,1.07,1350.0,1339.4,1348.85,1346.08,1352.76,1356.68,1363.36,1342.16,1335.48,1331.56
INTELLECT,-3.05,622.9,592.3,599.95,605.05,617.8,635.65,648.4,587.2,574.45,556.6
IOC,0.61,100.2,98.85,99.6,99.55,100.25,100.9,101.6,98.9,98.2,97.55
IPCALAB,-0.45,803.3,792.6,795.3,797.07,801.54,807.77,812.24,790.84,786.37,780.14
IRCTC,0.09,624.0,618.6,620.0,620.87,623.14,626.27,628.54,617.74,615.47,612.34
ITC,2.15,473.0,462.05,472.25,469.1,476.15,480.05,487.1,465.2,458.15,454.25
JINDALSTEL,-1.07,668.0,652.2,657.6,659.27,666.34,675.07,682.14,650.54,643.47,634.74
JKCEMENT,-0.99,3271.45,3208.1,3217.0,3232.18,3256.26,3295.53,3319.61,3192.91,3168.83,3129.56
JSWSTEEL,0.61,809.0,800.1,805.45,804.85,809.6,813.75,818.5,800.7,795.95,791.8
JUBLFOOD,-1.83,472.95,459.95,467.95,466.95,473.95,479.95,486.95,460.95,453.95,447.95
KOTAKBANK,1.06,1897.9,1875.65,1895.3,1889.62,1903.59,1911.87,1925.84,1881.34,1867.37,1859.09
LALPATHLAB,1.41,2441.4,2357.55,2416.6,2405.18,2452.81,2489.03,2536.66,2368.96,2321.33,2285.11
LAURUSLABS,-1.66,349.2,340.0,341.15,343.45,346.9,352.65,356.1,337.7,334.25,328.5
LICHSGFIN,0.83,397.85,393.25,395.75,395.62,397.99,400.22,402.59,393.39,391.02,388.79
LT,3.33,2673.85,2585.0,2646.25,2635.03,2685.06,2723.88,2773.91,2596.21,2546.18,2507.36
LTIM,-0.17,4937.5,4855.0,4860.55,4884.35,4913.7,4966.85,4996.2,4831.2,4801.85,4748.7
LTTS,-1.04,4020.0,3920.05,3932.85,3957.63,3995.21,4057.58,4095.16,3895.26,3857.68,3795.31
LUPIN,0.41,945.6,937.6,941.4,941.53,945.46,949.53,953.46,937.46,933.53,929.46
MANAPPURAM,3.84,135.95,129.9,135.1,133.65,137.4,139.7,143.45,131.35,127.6,125.3
MARICO,-1.46,542.9,531.1,532.7,535.57,540.04,547.37,551.84,528.24,523.77,516.44
MARUTI,-0.02,9810.0,9725.25,9756.35,9763.87,9802.49,9848.62,9887.24,9717.74,9679.12,9632.99
MCDOWELL-N,0.05,998.9,977.4,983.9,986.73,996.06,1008.23,1017.56,974.56,965.23,953.06
MCX,0.06,1721.0,1659.1,1666.35,1682.15,1705.2,1744.05,1767.1,1643.3,1620.25,1581.4
METROPOLIS,-0.57,1416.3,1392.6,1395.25,1401.38,1410.16,1425.08,1433.86,1386.46,1377.68,1362.76
MFSL,0.8,825.0,807.0,818.3,816.77,826.54,834.77,844.54,808.54,798.77,790.54
