symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-1.19,478.0,463.35,464.8,468.72,474.09,483.37,488.74,459.44,454.07,444.79
ABB,2.28,4350.0,4250.0,4322.05,4307.35,4364.7,4407.35,4464.7,4264.7,4207.35,4164.7
ABBOTINDIA,-0.05,23347.95,23008.45,23171.25,23175.88,23343.31,23515.38,23682.81,23003.81,22836.38,22664.31
ABCAPITAL,1.64,189.7,185.25,188.85,187.93,190.61,192.38,195.06,186.16,183.48,181.71
ABFRL,0.59,215.8,212.2,214.35,214.12,216.04,217.72,219.64,212.44,210.52,208.84
ACC,2.15,1816.0,1773.6,1804.6,1798.07,1822.54,1840.47,1864.94,1780.14,1755.67,1737.74
ADANIENT,0.08,2439.4,2412.05,2418.2,2423.22,2434.39,2450.57,2461.74,2407.04,2395.87,2379.69
ADANIPORTS,0.94,740.25,728.45,735.3,734.67,740.89,746.47,752.69,729.09,722.87,717.29
ALKEM,2.18,3794.9,3693.65,3781.8,3756.78,3819.91,3858.03,3921.16,3718.66,3655.53,3617.41
AMARAJABAT,0.14,630.0,623.8,625.05,626.28,628.76,632.48,634.96,622.56,620.08,616.36
AMBUJACEM,1.6,428.8,415.45,422.75,422.33,429.21,435.68,442.56,415.86,408.98,402.51
APOLLOHOSP,-0.46,5225.7,5144.0,5180.8,5183.5,5223.0,5265.2,5304.7,5141.3,5101.8,5059.6
APOLLOTYRE,-0.92,422.95,413.45,414.7,417.03,420.61,426.53,430.11,411.11,407.53,401.61
ASHOKLEY,0.33,186.5,181.95,182.45,183.63,185.31,188.18,189.86,180.76,179.08,176.21
ASIANPAINT,0.74,3568.0,3498.5,3543.7,3536.73,3574.96,3606.23,3644.46,3505.46,3467.23,3435.96
ASTRAL,-1.65,1948.5,1884.0,1890.75,1907.75,1931.5,1972.25,1996.0,1867.0,1843.25,1802.5
ATUL,-4.42,6948.05,6683.2,6704.15,6778.47,6873.74,7043.32,7138.59,6608.89,6513.62,6344.04
AUBANK,-3.67,744.0,726.45,739.15,736.53,746.61,754.08,764.16,729.06,718.98,711.51
AUROPHARMA,0.74,792.0,771.0,785.3,782.77,794.54,803.77,815.54,773.54,761.77,752.54
AXISBANK,0.02,984.95,968.8,971.5,975.08,981.36,991.23,997.51,965.21,958.93,949.06
BAJAJ-AUTO,0.41,4919.0,4851.15,4882.75,4884.3,4917.45,4952.15,4985.3,4849.6,4816.45,4781.75
BAJAJFINSV,1.51,1660.0,1622.0,1657.5,1646.5,1671.0,1684.5,1709.0,1633.0,1608.5,1595.0
BAJFINANCE,-0.0,7644.8,7560.35,7581.6,7595.58,7630.81,7680.03,7715.26,7546.36,7511.13,7461.91
BALKRISIND,-1.74,2445.75,2364.55,2373.85,2394.72,2424.89,2475.92,2506.09,2343.69,2313.52,2262.49
BALRAMCHIN,1.17,399.9,393.05,396.3,396.42,399.79,403.27,406.64,392.94,389.57,386.09
BANDHANBNK,0.3,220.75,216.7,218.65,218.7,220.7,222.75,224.75,216.65,214.65,212.6
BANKBARODA,0.89,201.65,197.05,198.35,199.02,200.99,203.62,205.59,196.39,194.42,191.79
BATAINDIA,0.1,1693.9,1661.0,1685.3,1680.07,1699.14,1712.97,1732.04,1666.24,1647.17,1633.34
BEL,0.84,127.75,125.0,126.0,126.25,127.5,129.0,130.25,124.75,123.5,122.0
BERGEPAINT,-0.77,694.5,683.8,685.85,688.05,692.3,698.75,703.0,681.6,677.35,670.9
BHARATFORG,0.01,855.0,840.3,852.2,849.17,858.04,863.87,872.74,843.34,834.47,828.64
BHARTIARTL,0.24,892.6,880.8,888.15,887.18,893.56,898.98,905.36,881.76,875.38,869.96
BHEL,3.76,98.7,94.8,98.05,97.18,99.56,101.08,103.46,95.66,93.28,91.76
BIOCON,-5.47,260.4,248.5,249.5,252.8,257.1,264.7,269.0,245.2,240.9,233.3
BOSCHLTD,0.62,19100.0,18811.0,19024.25,18978.42,19145.84,19267.42,19434.84,18856.84,18689.42,18567.84
BPCL,-0.28,391.9,387.65,389.55,389.7,391.75,393.95,396.0,387.5,385.45,383.25
BRITANNIA,-1.55,5048.0,4944.2,4968.9,4987.03,5029.86,5090.83,5133.66,4926.06,4883.23,4822.26
BSOFT,-0.58,386.6,379.85,383.35,383.27,386.69,390.02,393.44,379.94,376.52,373.19
CANBK,0.46,351.4,334.25,339.7,341.78,349.31,358.93,366.46,332.16,324.63,315.01
CANFINHOME,6.24,896.4,847.9,889.95,878.08,908.26,926.58,956.76,859.76,829.58,811.26
CHAMBLFERT,0.45,272.35,268.0,269.75,270.03,272.06,274.38,276.41,267.71,265.68,263.36
CHOLAFIN,0.93,1149.4,1128.65,1145.35,1141.13,1153.61,1161.88,1174.36,1132.86,1120.38,1112.11
