symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,1.49,468.5,459.0,467.5,465.0,471.0,474.5,480.5,461.5,455.5,452.0
ABB,0.81,4608.0,4505.55,4552.8,4555.45,4605.35,4657.9,4707.8,4502.9,4453.0,4400.45
ABBOTINDIA,0.04,24240.0,23954.05,24068.6,24087.55,24221.05,24373.5,24507.0,23935.1,23801.6,23649.15
ABCAPITAL,0.95,196.2,193.85,195.8,195.28,196.71,197.63,199.06,194.36,192.93,192.01
ABFRL,0.04,225.75,222.1,223.15,223.67,225.24,227.32,228.89,221.59,220.02,217.94
ACC,3.54,2031.0,1933.3,2017.9,1994.07,2054.84,2091.77,2152.54,1957.14,1896.37,1859.44
ADANIENT,1.18,2518.0,2467.0,2492.2,2492.4,2517.8,2543.4,2568.8,2466.8,2441.4,2415.8
ADANIPORTS,2.93,780.0,754.4,777.85,770.75,787.1,796.35,812.7,761.5,745.15,735.9
ALKEM,-0.42,4017.6,3965.8,3978.75,3987.38,4008.96,4039.18,4060.76,3957.16,3935.58,3905.36
AMARAJABAT,1.67,636.0,622.0,634.85,630.95,639.9,644.95,653.9,625.9,616.95,611.9
AMBUJACEM,1.8,468.8,454.8,463.0,462.2,469.6,476.2,483.6,455.6,448.2,441.6
APOLLOHOSP,-3.24,5339.95,5158.55,5173.45,5223.98,5289.41,5405.38,5470.81,5108.01,5042.58,4926.61
APOLLOTYRE,2.0,433.8,420.0,432.8,428.87,437.74,442.67,451.54,423.94,415.07,410.14
ASHOKLEY,2.62,184.65,179.3,184.0,182.65,186.0,188.0,191.35,180.65,177.3,175.3
ASIANPAINT,-0.39,3388.0,3323.15,3377.35,3362.83,3402.51,3427.68,3467.36,3337.66,3297.98,3272.81
ASTRAL,3.15,1990.0,1873.05,1969.35,1944.13,2015.21,2061.08,2132.16,1898.26,1827.18,1781.31
ATUL,2.63,6813.6,6630.0,6796.65,6746.75,6863.5,6930.35,7047.1,6679.9,6563.15,6496.3
AUBANK,0.64,732.0,716.0,729.85,725.95,735.9,741.95,751.9,719.9,709.95,703.9
AUROPHARMA,-1.76,840.9,816.25,822.25,826.47,836.69,851.12,861.34,812.04,801.82,787.39
AXISBANK,0.42,958.6,948.3,953.9,953.6,958.9,963.9,969.2,948.6,943.3,938.3
BAJAJ-AUTO,0.8,4938.4,4866.05,4931.4,4911.95,4957.85,4984.3,5030.2,4885.5,4839.6,4813.15
BAJAJFINSV,0.85,1602.8,1565.8,1598.3,1588.97,1612.14,1625.97,1649.14,1575.14,1551.97,1538.14
BAJFINANCE,-1.1,7369.9,7281.05,7300.3,7317.08,7353.11,7405.93,7441.96,7264.26,7228.23,7175.41
BALKRISIND,3.16,2549.1,2458.35,2542.35,2516.6,2574.85,2607.35,2665.6,2484.1,2425.85,2393.35
