Stock,Signal,High,Low,Close
ASTRAL,buy,2033.05,2003.0,2026.05
GRANULES,buy,325.4,320.0,324.05
HAVELLS,buy,1320.35,1294.0,1320.35
HINDCOPPER,buy,156.3,153.1,154.95
MOTHERSON,buy,98.9,97.0,97.75
RBLBANK,sell,219.0,210.15,215.2
LICI,buy,651.45,646.15,650.0
