symbol,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,-0.24,477.0,464.75,473.7,471.82,478.89,484.07,491.14,466.64,459.57,454.39
ABB,-1.09,4547.95,4445.0,4476.65,4489.87,4534.74,4592.82,4637.69,4431.79,4386.92,4328.84
ABBOTINDIA,-0.79,24244.0,23700.9,23774.35,23906.42,24111.94,24449.52,24655.04,23568.84,23363.32,23025.74
ABCAPITAL,0.05,189.6,184.1,185.65,186.45,188.8,191.95,194.3,183.3,180.95,177.8
ABFRL,1.23,205.4,199.65,201.9,202.32,204.99,208.07,210.74,199.24,196.57,193.49
ALKEM,0.0,4169.95,4086.95,4131.85,4129.58,4172.21,4212.58,4255.21,4089.21,4046.58,4006.21
AMARAJABAT,-0.18,628.9,623.7,625.55,626.05,628.4,631.25,633.6,623.2,620.85,618.0
APOLLOHOSP,0.18,5055.0,4980.15,5023.35,5019.5,5058.85,5094.35,5133.7,4984.0,4944.65,4909.15
APOLLOTYRE,0.75,439.4,431.5,438.1,436.33,441.16,444.23,449.06,433.26,428.43,425.36
ASHOKLEY,0.36,185.2,182.3,183.7,183.73,185.16,186.63,188.06,182.26,180.83,179.36
ASIANPAINT,0.15,3359.95,3332.65,3348.05,3346.88,3361.11,3374.18,3388.41,3333.81,3319.58,3306.51
ASTRAL,-1.27,2004.7,1958.75,1965.5,1976.32,1993.89,2022.27,2039.84,1947.94,1930.37,1901.99
ATUL,-1.18,7084.85,6907.0,6963.1,6984.98,7062.96,7162.83,7240.81,6885.11,6807.13,6707.26
AUBANK,-0.71,729.7,701.4,720.8,717.3,733.2,745.6,761.5,704.9,689.0,676.6
AUROPHARMA,-0.05,875.0,852.05,867.8,864.95,877.85,887.9,900.8,854.9,842.0,831.95
AXISBANK,0.58,959.9,944.05,952.9,952.28,960.51,968.13,976.36,944.66,936.43,928.81
BAJAJ-AUTO,-0.43,4698.0,4637.1,4650.15,4661.75,4686.4,4722.65,4747.3,4625.5,4600.85,4564.6
BAJAJFINSV,0.49,1520.3,1492.9,1515.75,1509.65,1526.4,1537.05,1553.8,1499.0,1482.25,1471.6
BAJFINANCE,0.72,7205.0,7085.15,7173.6,7154.58,7224.01,7274.43,7343.86,7104.16,7034.73,6984.31
BALKRISIND,0.09,2379.35,2335.0,2372.4,2362.25,2389.5,2406.6,2433.85,2345.15,2317.9,2300.8
BALRAMCHIN,-2.31,405.4,390.2,394.05,396.55,402.9,411.75,418.1,387.7,381.35,372.5
BANDHANBNK,1.65,234.5,229.5,233.6,232.53,235.56,237.53,240.56,230.56,227.53,225.56
BANKBARODA,2.88,196.45,189.55,194.85,193.62,197.69,200.52,204.59,190.79,186.72,183.89
BATAINDIA,-0.54,1771.45,1750.0,1755.95,1759.13,1768.26,1780.58,1789.71,1746.81,1737.68,1725.36
BEL,0.47,130.0,127.6,129.15,128.92,130.24,131.32,132.64,127.84,126.52,125.44
BERGEPAINT,0.35,711.95,700.6,709.3,707.28,713.96,718.63,725.31,702.61,695.93,691.26
BHARATFORG,-0.49,912.9,899.5,905.75,906.05,912.6,919.45,926.0,899.2,892.65,885.8
BHARTIARTL,-0.67,894.3,880.45,885.4,886.72,892.99,900.57,906.84,879.14,872.87,865.29
BHEL,2.33,100.95,97.25,98.85,99.02,100.79,102.72,104.49,97.09,95.32,93.39
BIOCON,4.5,274.0,263.7,273.15,270.28,276.86,280.58,287.16,266.56,259.98,256.26
BOSCHLTD,-0.22,18269.0,18015.0,18156.4,18146.8,18278.6,18400.8,18532.6,18024.6,17892.8,17770.6
BPCL,-0.78,363.85,356.4,357.85,359.37,362.34,366.82,369.79,354.89,351.92,347.44
BRITANNIA,-1.17,4677.45,4596.05,4605.35,4626.28,4656.51,4707.68,4737.91,4575.11,4544.88,4493.71
BSOFT,0.66,454.75,447.05,451.55,451.12,455.19,458.82,462.89,447.49,443.42,439.79
CANBK,3.07,339.8,329.0,338.75,335.85,342.7,346.65,353.5,331.9,325.05,321.1
CANFINHOME,-0.67,749.5,734.9,738.3,740.9,746.9,755.5,761.5,732.3,726.3,717.7
CHAMBLFERT,0.47,278.0,272.2,275.05,275.08,277.96,280.88,283.76,272.16,269.28,266.36
CHOLAFIN,-0.95,1073.3,1050.95,1057.8,1060.68,1070.41,1083.03,1092.76,1048.06,1038.33,1025.71
CIPLA,3.5,1269.0,1224.05,1266.45,1253.17,1282.29,1298.12,1327.24,1237.34,1208.22,1192.39
COALINDIA,-1.16,235.4,229.3,230.25,231.65,234.0,237.75,240.1,227.9,225.55,221.8
COFORGE,0.77,5018.95,4930.6,4980.9,4976.82,5023.04,5065.17,5111.39,4934.69,4888.47,4846.34
COLPAL,-0.9,2004.05,1964.0,1977.0,1981.68,1999.36,2021.73,2039.41,1959.31,1941.63,1919.26
CONCOR,1.67,713.0,695.7,710.65,706.45,717.2,723.75,734.5,699.9,689.15,682.6
COROMANDEL,0.94,1065.0,1048.0,1056.5,1056.5,1065.0,1073.5,1082.0,1048.0,1039.5,1031.0
CROMPTON,0.96,305.0,297.9,304.05,302.32,306.74,309.42,313.84,299.64,295.22,292.54
CUB,-0.07,135.25,132.5,133.35,133.7,134.9,136.45,137.65,132.15,130.95,129.4
CUMMINSIND,-1.04,1764.0,1721.0,1733.6,1739.53,1758.06,1782.53,1801.06,1715.06,1696.53,1672.06
DABUR,-0.51,567.1,558.55,562.4,562.68,566.81,571.23,575.36,558.26,554.13,549.71
DALBHARAT,0.54,2040.0,1981.3,2015.7,2012.33,2043.36,2071.03,2102.06,1984.66,1953.63,1925.96
DEEPAKNTR,2.21,2104.0,2031.7,2091.95,2075.88,2120.06,2148.18,2192.36,2047.76,2003.58,1975.46
DELTACORP,0.11,184.3,180.0,181.75,182.02,184.04,186.32,188.34,179.74,177.72,175.44
DIVISLAB,-1.64,3934.7,3834.05,3846.4,3871.72,3909.39,3972.37,4010.04,3808.74,3771.07,3708.09
DIXON,3.61,4925.0,4700.0,4859.8,4828.27,4956.54,5053.27,5181.54,4731.54,4603.27,4506.54
DLF,-0.18,493.2,482.1,488.25,487.85,493.6,498.95,504.7,482.5,476.75,471.4
DRREDDY,0.48,5738.95,5645.0,5657.95,5680.63,5716.26,5774.58,5810.21,5622.31,5586.68,5528.36
EICHERMOT,0.48,3385.05,3291.0,3372.0,3349.35,3407.7,3443.4,3501.75,3313.65,3255.3,3219.6
ESCORTS,1.68,2599.0,2535.75,2592.45,2575.73,2615.71,2638.98,2678.96,2552.46,2512.48,2489.21
EXIDEIND,-0.65,265.3,257.25,261.3,261.28,265.31,269.33,273.36,257.26,253.23,249.21
FEDERALBNK,1.04,136.3,134.15,135.45,135.3,136.45,137.45,138.6,134.3,133.15,132.15
FSL,-0.47,150.3,144.7,146.85,147.28,149.86,152.88,155.46,144.26,141.68,138.66
